subsetSlug,subsetLabel,syntheticId,model,parameter,trueValue,recoveredValue,error,absError,plotSubsetSlug,plotSubsetLabel,displayParameter,displayScale,truePlotValue,recoveredPlotValue,plotError,plotAbsError
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,MeanTimeseriesBaseBCC,propVar_mouse,342.5715964206538,349.2297093264823,6.658112905828489,6.658112905828489,joint_devices,Mouse + Trackpad joint,"$\sigma_{p,\mathrm{mouse}}$",sd,18.508689754292543,18.687688710123634,0.1789989558310907,0.1789989558310907
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,MeanTimeseriesBaseBCC,propVar_trackpad,454.5832695955276,467.4291456155898,12.845876020062178,12.845876020062178,joint_devices,Mouse + Trackpad joint,"$\sigma_{p,\mathrm{trackpad}}$",sd,21.32095845865114,21.620109750313244,0.29915129166210264,0.29915129166210264
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,MeanTimeseriesBaseBCC,visVarSlope,0.266757203904899,0.2687359086728572,0.0019787047679582,0.0019787047679582,joint_devices,Mouse + Trackpad joint,$\sigma_{v\beta}$,raw,0.266757203904899,0.2687359086728572,0.001978704767958195,0.001978704767958195
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,MeanTimeseriesBaseBCC,retention,0.9910568921714372,0.9908126738291968,-0.0002442183422405,0.0002442183422405,joint_devices,Mouse + Trackpad joint,$A$,raw,0.9910568921714372,0.9908126738291968,-0.00024421834224042094,0.00024421834224042094
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,MeanTimeseriesBaseBCC,lr,0.2001910484261812,0.2023988136896908,0.0022077652635096,0.0022077652635096,joint_devices,Mouse + Trackpad joint,$B$,raw,0.2001910484261812,0.2023988136896908,0.0022077652635095757,0.0022077652635095757
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0004,MeanTimeseriesBaseBCC,propVar_mouse,715.0794655707407,733.7600787628794,18.680613192138708,18.680613192138708,joint_devices,Mouse + Trackpad joint,"$\sigma_{p,\mathrm{mouse}}$",sd,26.74096979488105,27.08800617917235,0.34703638429130024,0.34703638429130024
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0004,MeanTimeseriesBaseBCC,propVar_trackpad,319.02894330446816,325.6022593938386,6.573316089370451,6.573316089370451,joint_devices,Mouse + Trackpad joint,"$\sigma_{p,\mathrm{trackpad}}$",sd,17.861381338084357,18.044452316261598,0.18307097817724127,0.18307097817724127
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0004,MeanTimeseriesBaseBCC,visVarSlope,0.6295095112211901,0.6352821441015126,0.0057726328803224,0.0057726328803224,joint_devices,Mouse + Trackpad joint,$\sigma_{v\beta}$,raw,0.6295095112211901,0.6352821441015126,0.005772632880322481,0.005772632880322481
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0004,MeanTimeseriesBaseBCC,retention,0.9944547436583469,0.9943021458141904,-0.0001525978441564,0.0001525978441564,joint_devices,Mouse + Trackpad joint,$A$,raw,0.9944547436583469,0.9943021458141904,-0.0001525978441564435,0.0001525978441564435
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0004,MeanTimeseriesBaseBCC,lr,0.2466899541185375,0.2478945490985558,0.0012045949800182,0.0012045949800182,joint_devices,Mouse + Trackpad joint,$B$,raw,0.2466899541185375,0.2478945490985558,0.001204594980018292,0.001204594980018292
