subsetSlug,deviceSubsetSlug,deviceSubsetLabel,syntheticId,metric,rmsDiffAcrossClampGrid,meanAbsDiffAcrossClampGrid,maxAbsDiffAcrossClampGrid
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,beta_lr_times_w_visual,0.0032403566697218693,0.0023575212740084,0.005725956867335992
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,alpha_retention_minus_lr_times_w_proprioceptive,0.006341800536239645,0.006212530568825994,0.007541793918333983
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,w_visual,0.004003403982263372,0.0032408742049776862,0.006524159507427185
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,w_proprioceptive,0.01575818476254936,0.014274564049624522,0.020848081101248556
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,w_motor_prior,0.013856079573291574,0.011033689844646814,0.020469882862789612
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,beta_lr_times_w_visual,0.0029801412884805393,0.002126287484573419,0.005462022696026157
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,alpha_retention_minus_lr_times_w_proprioceptive,0.0055559741134236255,0.005499784747091702,0.006290720060700639
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,w_visual,0.002043468728968626,0.0016922323653885546,0.003932380059482821
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,w_proprioceptive,0.004386111994908397,0.0036716357724804007,0.00797817462273434
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,w_motor_prior,0.006047823528101325,0.0041706998758779135,0.011910554682217023
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,beta_lr_times_w_visual,0.0012429476198430305,0.001077683269838356,0.0016570766279002946
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,alpha_retention_minus_lr_times_w_proprioceptive,0.0006558825962270153,0.0004570743988051851,0.0013423647547757822
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0004,w_visual,0.0036210221511728184,0.0029020510291491095,0.006054358484308298
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0004,w_proprioceptive,0.0023612347843410147,0.0022867808785664804,0.0035414322868882464
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0004,w_motor_prior,0.005499131109113538,0.004107173607364421,0.009595790771196433
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0004,beta_lr_times_w_visual,0.0011620179947504166,0.0010766337754725425,0.0016277486866121682
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0004,alpha_retention_minus_lr_times_w_proprioceptive,0.00011655734216865761,0.00010640936825216663,0.00017108716600267027
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0005,w_visual,0.009417838538813861,0.00906978547300713,0.011338704025607105
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0005,w_proprioceptive,0.014710584762102295,0.01447219835374711,0.01923474776713324
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0005,w_motor_prior,0.007478560563764803,0.005402412880739928,0.01499342867756985
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0005,beta_lr_times_w_visual,0.0010515267674006277,0.0009497372518425667,0.0018124220687699422
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0005,alpha_retention_minus_lr_times_w_proprioceptive,0.000563684041679867,0.00044284463720309364,0.0011545107208600358
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0005,w_visual,0.010103814799644404,0.008826116340866608,0.013753544696043618
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0005,w_proprioceptive,0.017173002369051806,0.017051964162640106,0.020669997801216044
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0005,w_motor_prior,0.01239720845884645,0.009164692336352961,0.024425375859533596
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0005,beta_lr_times_w_visual,0.001544636328620865,0.0010370315559702185,0.0031595847427378643
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0005,alpha_retention_minus_lr_times_w_proprioceptive,0.0008637463619682116,0.0007576471367648635,0.0014953818632472693
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0006,w_visual,0.0025444380246680714,0.002134212700232489,0.005013954905744744
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0006,w_proprioceptive,0.018072352136761654,0.014793535990920818,0.027917628936096672
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0006,w_motor_prior,0.020148693967960166,0.016242050736987614,0.029489027153275282
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0006,beta_lr_times_w_visual,0.00032779441179977675,0.0002926312905499127,0.0004366035549545136
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0006,alpha_retention_minus_lr_times_w_proprioceptive,0.0005056337341552494,0.0004026314225716865,0.0007885954603638057
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0006,w_visual,0.004765808042862954,0.0034297252899846997,0.007601340102841858
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0006,w_proprioceptive,0.026028006083757663,0.02409302067214606,0.03475583048244901
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0006,w_motor_prior,0.02448803982272648,0.020666943523014573,0.03477042304586164
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0006,beta_lr_times_w_visual,0.00012171530929236876,9.494208514209781e-05,0.00022472844035706027
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0006,alpha_retention_minus_lr_times_w_proprioceptive,0.0008269108589573001,0.0007556272713289819,0.001118966841627378
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0007,w_visual,0.019248486726287425,0.019245555909826753,0.01967415280392737
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0007,w_proprioceptive,0.0240370917049367,0.023680387828411587,0.031124505794324266
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0007,w_motor_prior,0.0058490824095793195,0.004434831918584901,0.011497861036833229
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0007,beta_lr_times_w_visual,0.0004425814920059822,0.000442168098910253,0.00046782462406809444
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0007,alpha_retention_minus_lr_times_w_proprioceptive,0.00021372858788989768,0.00019246251599547293,0.00029089606397458834
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0007,w_visual,0.016059831852022616,0.015796043993045503,0.018434139758770618
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0007,w_proprioceptive,0.023460933184310362,0.023229479873937836,0.029107577599420148
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0007,w_motor_prior,0.009669048812825147,0.007433435880892281,0.018749619127533937
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0007,beta_lr_times_w_visual,0.0003361982473166028,0.0003169612106303354,0.00041854738494125077
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0007,alpha_retention_minus_lr_times_w_proprioceptive,0.00019734551462273698,0.00017386032979367638,0.00027430388429150465
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0008,w_visual,0.0035379824257274397,0.002635578689972197,0.00576194813105857
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0008,w_proprioceptive,0.005432480530201425,0.0041928658242784125,0.009933429724348727
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0008,w_motor_prior,0.008901159467071111,0.006451676579801867,0.015489038695319368
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0008,beta_lr_times_w_visual,0.0005660921630031096,0.0005418534579758084,0.0007580092617800183
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0008,alpha_retention_minus_lr_times_w_proprioceptive,0.0004584766613042616,0.0003158573729252212,0.0008760832446733646
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0008,w_visual,0.0025902083685142643,0.0022452548003367885,0.004056018708324227
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0008,w_proprioceptive,0.0057449918854333565,0.0050021767737721,0.009483527570477435
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0008,w_motor_prior,0.007965159447581152,0.0062241002315262545,0.012535249653876535
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0008,beta_lr_times_w_visual,0.00039033960647681865,0.00037323507303042543,0.0005336451926605743
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0008,alpha_retention_minus_lr_times_w_proprioceptive,0.000540147291713975,0.00043510894284248813,0.0009367128625407117
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0009,w_visual,0.0012265717173432671,0.0009599752844310716,0.002442414002430837
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0009,w_proprioceptive,0.0008078762376270511,0.0006242380284051309,0.001265831683133517
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0009,w_motor_prior,0.001749243487649763,0.0015842133128362319,0.0026928204028086045
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0009,beta_lr_times_w_visual,0.0013726421848648026,0.0009415974710441559,0.002530473890893503
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0009,alpha_retention_minus_lr_times_w_proprioceptive,0.0004764123033104024,0.0004685710731520132,0.0005475776878911542
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0009,w_visual,0.0023818265496641303,0.0018509434913732054,0.00417230576979144
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0009,w_proprioceptive,0.0038147103073566243,0.0037077821757871623,0.004613731371825358
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0009,w_motor_prior,0.0025965456462153655,0.0020265346571677074,0.003878309374040545
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0009,beta_lr_times_w_visual,0.0007990209349490293,0.0004580387117292501,0.0018431255797947688
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0009,alpha_retention_minus_lr_times_w_proprioceptive,0.002030198381291378,0.0019575760823490884,0.002379516844708829
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0010,w_visual,0.001591460321743307,0.0012680220763060081,0.002855441383642743
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0010,w_proprioceptive,0.002281686965590859,0.0018616812771405304,0.003487623821855343
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0010,w_motor_prior,0.00358206773667835,0.003129703353446525,0.005272663789249177
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0010,beta_lr_times_w_visual,0.0008250842092528811,0.0005846573847407693,0.0014224867942144448
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0010,alpha_retention_minus_lr_times_w_proprioceptive,0.00013837394807980914,0.00011569945448275387,0.00020429876294314475
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0010,w_visual,0.0014980738670039638,0.0011686430209118088,0.0029550025736767016
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0010,w_proprioceptive,0.0019838618185816807,0.00169223753645462,0.00290548888170436
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0010,w_motor_prior,0.0031246196071752154,0.002860880557366434,0.004235093257794698
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0010,beta_lr_times_w_visual,0.0007008811983455907,0.0004703273766833557,0.0013245079370399343
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0010,alpha_retention_minus_lr_times_w_proprioceptive,0.0001967578790817314,0.00019496100967172914,0.00022500839114381055
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0011,w_visual,0.015002367771786124,0.01133091600648403,0.03085768656057941
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0011,w_proprioceptive,0.04716074785213538,0.040140020578490115,0.06767043127263364
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0011,w_motor_prior,0.057464329582608484,0.05121413995842705,0.0749123837877026
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0011,beta_lr_times_w_visual,0.008071382049158363,0.0052956036718294595,0.01663416793631617
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0011,alpha_retention_minus_lr_times_w_proprioceptive,0.006097977752478667,0.005360031943669005,0.00892192774438183
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0011,w_visual,0.01501222549124742,0.010932397801427057,0.029620190212299058
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0011,w_proprioceptive,0.04657008936190223,0.04151316269100092,0.06315325927507029
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0011,w_motor_prior,0.056628532246582354,0.05240492949960668,0.0699530364565627
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0011,beta_lr_times_w_visual,0.0067995929675692,0.004392605022047325,0.015362612718133994
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0011,alpha_retention_minus_lr_times_w_proprioceptive,0.006015111721387143,0.005192406377898751,0.008583116551216685
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0012,w_visual,0.004886113647591533,0.003658059681264523,0.010108884942537533
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0012,w_proprioceptive,0.017912011072701534,0.015353239540018975,0.025219388240118323
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0012,w_motor_prior,0.021258781918899055,0.018952595678584525,0.027613835471717696
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0012,beta_lr_times_w_visual,0.0017163263063208352,0.0011226287147713904,0.003351648403475946
