subsetSlug,subsetLabel,syntheticId,model,parameter,trueValue,recoveredValue,error,absError
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0005,MeanTimeseriesBaseBCC,visVarSlope,0.2587518077781204,0.25744484520337246,-0.0013069625747479385,0.0013069625747479385
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0005,MeanTimeseriesBaseBCC,retention,0.9561215310702063,0.9568743452677249,0.0007528141975186031,0.0007528141975186031
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0005,MeanTimeseriesBaseBCC,lr,0.21647608268173804,0.21289792938427793,-0.0035781532974601127,0.0035781532974601127
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0006,MeanTimeseriesBaseBCC,propVar_mouse,701.99093790324,726.663669086017,24.672731182776943,24.672731182776943
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0006,MeanTimeseriesBaseBCC,propVar_trackpad,944.1152919522763,1000.0,55.884708047723734,55.884708047723734
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0006,MeanTimeseriesBaseBCC,visVarSlope,0.3715604447184897,0.3735949626288116,0.002034517910321887,0.002034517910321887
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0006,MeanTimeseriesBaseBCC,retention,0.9673372105824556,0.9676031363847902,0.00026592580233464336,0.00026592580233464336
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0006,MeanTimeseriesBaseBCC,lr,0.1488148333088705,0.14765158393705205,-0.0011632493718184422,0.0011632493718184422
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0007,MeanTimeseriesBaseBCC,propVar_mouse,325.0971284839187,293.2706019667366,-31.826526517182117,31.826526517182117
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0007,MeanTimeseriesBaseBCC,propVar_trackpad,214.37725886098477,196.39889712577525,-17.978361735209518,17.978361735209518
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0007,MeanTimeseriesBaseBCC,visVarSlope,0.4315122719536024,0.415974876831361,-0.015537395122241449,0.015537395122241449
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0007,MeanTimeseriesBaseBCC,retention,0.9598893075237819,0.9614111003995547,0.0015217928757728094,0.0015217928757728094
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0007,MeanTimeseriesBaseBCC,lr,0.21228159744762287,0.20461170470951448,-0.0076698927381083915,0.0076698927381083915
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0008,MeanTimeseriesBaseBCC,propVar_mouse,458.2808280770874,446.0674901377537,-12.213337939333712,12.213337939333712
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0008,MeanTimeseriesBaseBCC,propVar_trackpad,743.6717391377052,701.9810043332502,-41.69073480445502,41.69073480445502
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0008,MeanTimeseriesBaseBCC,visVarSlope,0.5213363422641286,0.5156886889713751,-0.005647653292753518,0.005647653292753518
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0008,MeanTimeseriesBaseBCC,retention,0.9643231357796754,0.9658492239455224,0.0015260881658469838,0.0015260881658469838
