subsetSlug,deviceSubsetSlug,deviceSubsetLabel,syntheticId,clamp,metric,trueValue,recoveredValue,error,absError
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0000,170.0,beta,0.009187166588551428,0.00910712039768756,-8.00461908638684e-05,8.00461908638684e-05
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,2.0,alpha,0.9643787312682225,0.9650170515362079,0.0006383202679853817,0.0006383202679853817
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,2.0,beta,0.09974938346978524,0.09871342968147435,-0.001035953788310881,0.001035953788310881
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,5.0,alpha,0.9643294255137176,0.964986884327687,0.0006574588139693915,0.0006574588139693915
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,5.0,beta,0.09956063953976153,0.09852451457361247,-0.001036124966149063,0.001036124966149063
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,10.0,alpha,0.9642458271220608,0.96493558503368,0.0006897579116192931,0.0006897579116192931
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,10.0,beta,0.09924062235021872,0.0982032647087529,-0.0010373576414658137,0.0010373576414658137
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,20.0,alpha,0.9640734391840399,0.9648292607233383,0.0007558215392984291,0.0007558215392984291
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,20.0,beta,0.09858071607279867,0.09753743351185636,-0.001043282560942313,0.001043282560942313
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,50.0,alpha,0.9635176436547821,0.9644825718783547,0.0009649282235726364,0.0009649282235726364
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,50.0,beta,0.09645311385810836,0.09536637547382018,-0.0010867383842881745,0.0010867383842881745
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,100.0,alpha,0.9624823064087309,0.9638267693963704,0.001344462987639461,0.001344462987639461
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,100.0,beta,0.09248981134541685,0.09125956537456986,-0.001230245970846991,0.001230245970846991
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,135.0,alpha,0.9616952851850575,0.9633235034031437,0.0016282182180861193,0.0016282182180861193
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,135.0,beta,0.08947707012971852,0.08810797946208736,-0.001369090667631162,0.001369090667631162
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,170.0,alpha,0.9608725332419069,0.9627952947309657,0.0019227614890587885,0.0019227614890587885
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0001,170.0,beta,0.08632755063155702,0.08480019583972502,-0.0015273547918319974,0.0015273547918319974
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,2.0,alpha,0.9650969825068885,0.9654914735564255,0.00039449104953703795,0.00039449104953703795
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,2.0,beta,0.09698411309532358,0.09574798779109435,-0.0012361253042292297,0.0012361253042292297
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,5.0,alpha,0.9650716942562367,0.9654793254610226,0.0004076312047858188,0.0004076312047858188
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,5.0,beta,0.09671372682748133,0.09545818975911605,-0.0012555370683652867,0.0012555370683652867
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,10.0,alpha,0.9650289213440587,0.9654587297286572,0.0004298083845984957,0.0004298083845984957
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,10.0,beta,0.09625639159113558,0.09496686972016119,-0.0012895218709743916,0.0012895218709743916
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,20.0,alpha,0.9649411285442121,0.9654162897123145,0.0004751611681024226,0.0004751611681024226
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,20.0,beta,0.09531769607514755,0.0939544449074434,-0.001363251167704152,0.001363251167704152
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,50.0,alpha,0.9646617730445325,0.965280181394253,0.0006184083497204895,0.0006184083497204895
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,50.0,beta,0.09233077966088503,0.09070752253800166,-0.001623257122883373,0.001623257122883373
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,100.0,alpha,0.9641559699337883,0.9650318644220526,0.000875894488264306,0.000875894488264306
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,100.0,beta,0.08692264695685822,0.08478381454400707,-0.0021388324128511493,0.0021388324128511493
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,135.0,alpha,0.9637836492265864,0.9648489957492581,0.0010653465226716508,0.0010653465226716508
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,135.0,beta,0.0829417307658885,0.08042140383448407,-0.002520326931404429,0.002520326931404429
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,170.0,alpha,0.9634051547099683,0.9646638329202933,0.0012586782103249927,0.0012586782103249927
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0001,170.0,beta,0.07889480315683221,0.07600426504445616,-0.002890538112376051,0.002890538112376051
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,2.0,alpha,0.9531037843548131,0.955514545736802,0.002410761381988813,0.002410761381988813
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,2.0,beta,0.08922662753788096,0.08568040107222917,-0.0035462264656517944,0.0035462264656517944
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,5.0,alpha,0.9526167766623294,0.9550228867530356,0.002406110090706237,0.002406110090706237
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,5.0,beta,0.0864256848934176,0.08297902930177803,-0.0034466555916395775,0.0034466555916395775
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,10.0,alpha,0.951682975800948,0.9540811127149846,0.002398136914036675,0.002398136914036675
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,10.0,beta,0.08105508665760622,0.07780454478194636,-0.0032505418756598597,0.0032505418756598597
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,20.0,alpha,0.9496012733483282,0.951984403798177,0.002383130449848725,0.002383130449848725
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,20.0,beta,0.06908252593091609,0.06628438453728021,-0.002798141393635878,0.002798141393635878
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,50.0,alpha,0.9443476482497299,0.9467028628933496,0.002355214643619652,0.002355214643619652
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,50.0,beta,0.03886718682273784,0.037265479206821286,-0.0016017076159165547,0.0016017076159165547
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,100.0,alpha,0.9404582681746594,0.9427985575641746,0.002340289389515249,0.002340289389515249
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,100.0,beta,0.01649807298547411,0.015813658844135235,-0.0006844141413388759,0.0006844141413388759
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,135.0,alpha,0.939381681536602,0.9417183506239905,0.0023366690873884988,0.0023366690873884988
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,135.0,beta,0.010306266425672736,0.00987856840379469,-0.0004276980218780469,0.0004276980218780469
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,170.0,alpha,0.9388028585399343,0.941137623829595,0.0023347652896607007,0.0023347652896607007
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0002,170.0,beta,0.006977263537249688,0.006687822336862041,-0.0002894412003876471,0.0002894412003876471
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,2.0,alpha,0.9511075802358805,0.9535262430726231,0.0024186628367426355,0.0024186628367426355
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,2.0,beta,0.08339744693441146,0.08002225315238604,-0.003375193782025429,0.003375193782025429
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,5.0,alpha,0.9498559431255927,0.9522782795106467,0.002422336385053958,0.002422336385053958
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,5.0,beta,0.07849028460969239,0.07528933202808193,-0.003200952581610461,0.003200952581610461
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,10.0,alpha,0.9476442142036372,0.9500762471064489,0.002432032902811687,0.002432032902811687
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,10.0,beta,0.06981899103018564,0.06693809005293658,-0.002880900977249065,0.002880900977249065
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,20.0,alpha,0.9434496773082734,0.9459082880440384,0.002458610735764921,0.002458610735764921
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,20.0,beta,0.05337391022090845,0.05113104079864971,-0.0022428694222587364,0.0022428694222587364
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,50.0,alpha,0.9359144495826576,0.9384397973128972,0.002525347730239602,0.002525347730239602
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,50.0,beta,0.02383133330353236,0.022806674106319536,-0.0010246591972128231,0.0010246591972128231
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,100.0,alpha,0.932074119663197,0.9346399478229755,0.0025658281597785715,0.0025658281597785715
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,100.0,beta,0.008774954629257398,0.008395686103157302,-0.0003792685261000961,0.0003792685261000961
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,135.0,alpha,0.9311846419138358,0.933760192124049,0.0025755502102132732,0.0025755502102132732
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,135.0,beta,0.005287672521316888,0.005059198998452202,-0.00022847352286468631,0.00022847352286468631
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,170.0,alpha,0.9307319554951726,0.9333124665763617,0.002580511081189063,0.002580511081189063
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0002,170.0,beta,0.0035128723653316853,0.0033611929291214302,-0.00015167943621025503,0.00015167943621025503
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,2.0,alpha,0.9540364625602439,0.9583618612517568,0.004325398691512938,0.004325398691512938
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,2.0,beta,0.05425366309087206,0.04852770622353607,-0.005725956867335992,0.005725956867335992
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,5.0,alpha,0.9525122802311107,0.9571358879462699,0.004623607715159239,0.004623607715159239
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,5.0,beta,0.050004125214234654,0.04485151845017029,-0.005152606764064364,0.005152606764064364
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,10.0,alpha,0.949736770349407,0.9548861546175891,0.005149384268182122,0.005149384268182122
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,10.0,beta,0.04226578962023263,0.03810549704887579,-0.00416029257135684,0.00416029257135684
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,20.0,alpha,0.9448475997927678,0.9508668903061918,0.0060192905134239805,0.0060192905134239805
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,20.0,beta,0.02863440506167188,0.02605338281983386,-0.0025810222418380206,0.0025810222418380206
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,50.0,alpha,0.938155573173158,0.9452444584633349,0.007088885290176927,0.007088885290176927
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,50.0,beta,0.00997651876556961,0.009194031066588153,-0.0007824876989814562,0.0007824876989814562
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,100.0,alpha,0.935718956190754,0.9431612566085067,0.007442300417752734,0.007442300417752734
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,100.0,beta,0.003183042709806733,0.0029473687992302984,-0.0002356739105764346,0.0002356739105764346
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,135.0,alpha,0.9352389670681446,0.9427485508042106,0.007509583736066028,0.007509583736066028
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,135.0,beta,0.0018447960198176548,0.001709834486729224,-0.00013496153308843089,0.00013496153308843089
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,170.0,alpha,0.9350071865945958,0.9425489805129298,0.007541793918333983,0.007541793918333983
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0003,170.0,beta,0.0011985741849466392,0.0011114055801209764,-8.716860482566274e-05,8.716860482566274e-05
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,2.0,alpha,0.9545173359453486,0.9587836158093213,0.004266279863972655,0.004266279863972655
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,2.0,beta,0.05169549793463779,0.046233475238611633,-0.005462022696026157,0.005462022696026157
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,5.0,alpha,0.9534187146675367,0.9579241875206984,0.004505472853161718,0.004505472853161718
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,5.0,beta,0.04613761067834198,0.0413670790151562,-0.0047705316631857855,0.0047705316631857855
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,10.0,alpha,0.9515871056477027,0.9564819114387674,0.004894805791064716,0.004894805791064716
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,10.0,beta,0.03687156364698739,0.03320038614362446,-0.0036711775033629324,0.0036711775033629324
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,20.0,alpha,0.9488038450214568,0.954266778553031,0.005462933531574232,0.005462933531574232
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,20.0,beta,0.022791143871784072,0.02065749635014011,-0.002133647521643963,0.002133647521643963
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,50.0,alpha,0.9457002812272914,0.9517620819404213,0.0060618007131298945,0.0060618007131298945
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,50.0,beta,0.0070903213872169045,0.006474991191930878,-0.0006153301952860268,0.0006153301952860268
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,100.0,alpha,0.9447291290286833,0.9509705703457411,0.006241441317057728,0.006241441317057728
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,100.0,beta,0.002177295818189704,0.00199316404455468,-0.00018413177363502424,0.00018413177363502424
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,135.0,alpha,0.9445463523746647,0.9508211762207367,0.006274823846072031,0.006274823846072031
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,135.0,beta,0.001252635012291195,0.0011472400560707423,-0.00010539495622045262,0.00010539495622045262
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,170.0,alpha,0.9444590489781094,0.95074976903881,0.006290720060700639,0.006290720060700639
joint_devices,trackpad,Trackpad,joint_devices_MeanTimeseriesVectorBCC_0003,170.0,beta,0.0008109701320038625,0.000742906564776855,-6.806356722700749e-05,6.806356722700749e-05
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,2.0,alpha,0.9966967656221498,0.9965568762689418,-0.00013988935320796703,0.00013988935320796703
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,2.0,beta,0.2294000654926212,0.2310571421205215,0.0016570766279002946,0.0016570766279002946
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,5.0,alpha,0.996426427967106,0.9963077423752376,-0.0001186855918684504,0.0001186855918684504
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,5.0,beta,0.22822799902439805,0.2298701075443071,0.0016421085199090357,0.0016421085199090357
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,10.0,alpha,0.9959557807234679,0.9958733661006386,-8.241462282931877e-05,8.241462282931877e-05
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,10.0,beta,0.2261874773200123,0.22780045877283875,0.0016129814528264563,0.0016129814528264563
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,20.0,alpha,0.9949447873281452,0.9949381667401845,-6.6205879606373585e-06,6.6205879606373585e-06
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,20.0,beta,0.22180424976682286,0.22334456575881806,0.0015403159919951948,0.0015403159919951948
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,50.0,alpha,0.9914692722928979,0.9917113785223263,0.00024210622942832938,0.00024210622942832938
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,50.0,beta,0.20673592851517314,0.2079700652130753,0.0012341366979021495,0.0012341366979021495
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,100.0,alpha,0.9849257653230401,0.9856245726296375,0.0006988073065974376,0.0006988073065974376
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,100.0,beta,0.17836612889288134,0.17896859557801983,0.0006024666851384974,0.0006024666851384974
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,135.0,alpha,0.9803394698906222,0.9813651766343957,0.0010257067437735579,0.0010257067437735579
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,135.0,beta,0.1584819470580209,0.15867408548561468,0.0001921384275937743,0.0001921384275937743
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,170.0,alpha,0.9760485618200982,0.977390926574874,0.0013423647547757822,0.0013423647547757822
joint_devices,mouse,Mouse,joint_devices_MeanTimeseriesVectorBCC_0004,170.0,beta,0.13987843632299937,0.13973819456755793,-0.0001402417554414448,0.0001402417554414448
