subsetSlug,subsetLabel,model,parameter,n,correlation,bias,mae,rmse
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,propVar_mouse,20,0.7181745196466152,2.4651099173773616,89.91822590891267,159.0662280807293
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,propVar_trackpad,20,0.7895260431292755,11.277825193952742,111.07245386764998,167.21840464234842
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,visVarSlope,20,0.9482439081416291,-0.009727529708934804,0.018749904913742184,0.03607269021600634
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,retention,20,0.9815508964078564,0.00019623156853155744,0.0017254365134920734,0.002844371294445015
joint_devices,Mouse + Trackpad joint,MeanTimeseriesBaseBCC,lr,20,0.9991856851178149,-0.0009575173075445344,0.0030866567646186086,0.0037912975341722476
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,senseVar_mouse,20,0.9228032099283309,301.62908318715034,315.4660653443707,1097.544566876489
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,senseVar_trackpad,20,0.9836234269384012,-15.486917112654169,75.7870147771929,213.98745853628554
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,c,20,0.9491886617870189,-0.0204857409964157,0.04530367185744638,0.0646570482852855
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,retention,20,0.5000383909032191,-0.004229083465892586,0.005113070525516289,0.014205531617600112
joint_devices,Mouse + Trackpad joint,MeanTimeseriesCausalInf,lr,20,0.049570662946076094,-0.11179076919319071,0.18838932421069526,0.2996627930132671
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,propVar_mouse,20,0.6127347462510648,121.09764353906446,146.2341865277504,279.3067632701116
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,propVar_trackpad,20,0.8535306099826946,51.80406919600695,58.46755584679651,142.27073296864694
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,visVarSlope,20,0.9963680304077669,0.0016391524196738088,0.005746600156930351,0.011931963377218264
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,retention,20,0.9915411567503222,-6.555967916084815e-05,0.0011674969471898778,0.001867230804607041
joint_devices,Mouse + Trackpad joint,MeanTimeseriesVectorBCC,lr,20,0.9979974651234377,-0.00017862633818484553,0.0031798716782704866,0.0051511608022299
