subsetSlug,subsetLabel,metric,clamp,n,correlation,bias,mae,rmse,trueMin,trueMax,recoveredMin,recoveredMax
joint_devices,Mouse + Trackpad joint,alpha,2.0,40,0.9949928932704564,0.0002998015078298583,0.0009495565985615434,0.001602787456953596,0.9410185123645063,0.9966967656221498,0.9444291849302839,0.9965568762689418
joint_devices,Mouse + Trackpad joint,alpha,5.0,40,0.9961650875650069,0.00039293366730476785,0.0009392729082639661,0.0015990355426004298,0.9268109315125153,0.996426427967106,0.9311413934733374,0.9963077423752376
joint_devices,Mouse + Trackpad joint,alpha,10.0,40,0.9974231708222137,0.0005402108758848307,0.0009096149593768893,0.0016618918589465382,0.9080085685322885,0.9959557807234679,0.9134709852190795,0.9958733661006386
joint_devices,Mouse + Trackpad joint,alpha,20.0,40,0.9980623697680396,0.000759455665180156,0.0010277260440390151,0.001931183163186515,0.8877879306576317,0.9949447873281452,0.8943563610324644,0.9949381667401845
joint_devices,Mouse + Trackpad joint,alpha,50.0,40,0.9972355169450879,0.0010085352473427956,0.001443325735235712,0.002583525311527109,0.8726640363732872,0.9914692722928979,0.879982341746034,0.9917113785223263
joint_devices,Mouse + Trackpad joint,alpha,100.0,40,0.9963310900947082,0.0011111445005221126,0.001697754729504844,0.002906743108918326,0.8690235929369694,0.9849257653230401,0.8765122274525388,0.9856245726296375
joint_devices,Mouse + Trackpad joint,alpha,135.0,40,0.9960062130131025,0.0011562619988221418,0.00178842277825694,0.0029888083938085677,0.8683875390145123,0.981668185349239,0.8759055114134092,0.9817500683774515
joint_devices,Mouse + Trackpad joint,alpha,170.0,40,0.995786751634999,0.00119896099979393,0.0018592659650612797,0.003040843792383579,0.8680893444780584,0.9815352705686945,0.8756210260410112,0.9817228797553988
joint_devices,Mouse + Trackpad joint,beta,2.0,40,0.9982111261867848,8.739122819083146e-05,0.0026568642003841404,0.004485778190138798,0.02201217401399255,0.2545253440275477,0.02223690245434961,0.2544297626107098
joint_devices,Mouse + Trackpad joint,beta,5.0,40,0.9987832247461689,2.189354720347203e-06,0.0022448127424682203,0.0036061014485559394,0.020065213420935337,0.25418965668956156,0.020248649050814176,0.2540829552304798
joint_devices,Mouse + Trackpad joint,beta,10.0,40,0.9994655811378682,-0.00013687196380841724,0.0016078476830490962,0.0023493838364080284,0.016830340173889173,0.2536213870428879,0.016970564138441054,0.2534954592097304
joint_devices,Mouse + Trackpad joint,beta,20.0,40,0.9998194750155938,-0.00022541346344298317,0.000987818940795252,0.0014184302344878487,0.011501491307617984,0.2524524746903618,0.011603656867917197,0.25228556349128695
joint_devices,Mouse + Trackpad joint,beta,50.0,40,0.9999060342006094,-0.00010816377153283313,0.0007248524966948323,0.0010247125019729037,0.004228378921693751,0.24869890854662802,0.004285540627403485,0.2483902138375366
joint_devices,Mouse + Trackpad joint,beta,100.0,40,0.9999318655301896,-0.0001334008870677863,0.0005583036773822392,0.0007979918821820755,0.001410497172265399,0.24170436335883946,0.0014355102669618156,0.24110647338595112
joint_devices,Mouse + Trackpad joint,beta,135.0,40,0.9999317897501065,-0.0002064510177995456,0.0005277990207070779,0.0008309380730217566,0.0008293799269187618,0.23634118060902615,0.0008452750909488138,0.2355112012411294
joint_devices,Mouse + Trackpad joint,beta,170.0,40,0.9999272119126167,-0.0002834013998746877,0.0005300350245316668,0.0009297187543181177,0.0005437170185036331,0.23066472865171997,0.0005546301401172197,0.22958649390094868
