subsetSlug,syntheticId,metric,trueValue,recoveredValue,error,absError
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0000,alpha,0.9451281611634013,0.9446981970546271,-0.00042996410877416125,0.00042996410877416125
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0000,beta,0.069844683907829,0.0699876480339219,0.00014296412609290932,0.00014296412609290932
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0001,alpha,0.9638587790715494,0.9647417258733765,0.0008829468018271003,0.0008829468018271003
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0001,beta,0.09301504972043231,0.09153482854779141,-0.0014802211726409054,0.0014802211726409054
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0002,alpha,0.9432473655122244,0.9456813628427594,0.002433997330534954,0.002433997330534954
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0002,beta,0.04530788627534947,0.043462334790871984,-0.0018455514844774867,0.0018455514844774867
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0003,alpha,0.945813475553186,0.9516696332111448,0.0058561576579588825,0.0058561576579588825
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0003,beta,0.022511747071787797,0.02026984269249689,-0.002241904379290907,0.002241904379290907
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0004,alpha,0.9779622518139613,0.9780951042338035,0.00013285241984217766,0.00013285241984217766
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0004,beta,0.18126360669332103,0.18204305660590867,0.000779449912587632,0.000779449912587632
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0005,alpha,0.9500355496150377,0.9505191608808142,0.0004836112657765623,0.0004836112657765623
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0005,beta,0.17815727303412626,0.17717085010070485,-0.0009864229334214103,0.0009864229334214103
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0006,alpha,0.9525628972389912,0.9519837678920409,-0.0005791293469503689,0.0005791293469503689
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0006,beta,0.01139254603030302,0.011586332718149026,0.00019378668784600546,0.00019378668784600546
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0007,alpha,0.9817222896422885,0.9815897203737294,-0.00013256926855909068,0.00013256926855909068
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0007,beta,0.03773376438483497,0.03811332903960527,0.0003795646547702994,0.0003795646547702994
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0008,alpha,0.9757614269376979,0.9761288235386057,0.00036739660090789883,0.00036739660090789883
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0008,beta,0.0628949878905906,0.062437443625087484,-0.0004575442655031167,0.0004575442655031167
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0009,alpha,0.9236091911207969,0.9248222646985474,0.0012130735777505786,0.0012130735777505786
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0009,beta,0.06884523019813629,0.0681603587941864,-0.000684871403949891,0.000684871403949891
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0010,alpha,0.980656784833588,0.9805014546015107,-0.00015533023207725538,0.00015533023207725538
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0010,beta,0.04051349104465126,0.04104068688131508,0.0005271958366638227,0.0005271958366638227
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0011,alpha,0.9298440981765183,0.9330979095708392,0.0032538113943209046,0.0032538113943209046
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0011,beta,0.09381535450470462,0.09736329835483448,0.003547943850129867,0.003547943850129867
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0012,alpha,0.9640518993502148,0.9638783229863348,-0.00017357636388004583,0.00017357636388004583
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0012,beta,0.031909142526138856,0.03286514305107473,0.0009560005249358711,0.0009560005249358711
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0013,alpha,0.916370461682601,0.9210765939896624,0.004706132307061406,0.004706132307061406
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0013,beta,0.055997157210886064,0.05337853064715683,-0.002618626563729236,0.002618626563729236
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0014,alpha,0.9528099970900364,0.9527958716462326,-1.4125443803858495e-05,1.4125443803858495e-05
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0014,beta,0.23645450812776458,0.23590699560134898,-0.0005475125264156055,0.0005475125264156055
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0015,alpha,0.9784242512527367,0.9779430189497388,-0.00048123230299790265,0.00048123230299790265
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0015,beta,0.16486471308338269,0.16561967632348829,0.0007549632401055995,0.0007549632401055995
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0016,alpha,0.9832739032228618,0.9832077148282872,-6.618839457461778e-05,6.618839457461778e-05
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0016,beta,0.025828660934710434,0.025472659125764206,-0.0003560018089462276,0.0003560018089462276
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0017,alpha,0.9667601565315925,0.9659667193961882,-0.0007934371354043623,0.0007934371354043623
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0017,beta,0.036893235144908644,0.037048764661910025,0.00015552951700138068,0.00015552951700138068
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0018,alpha,0.9760405475600762,0.9756325817524272,-0.00040796580764901336,0.00040796580764901336
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0018,beta,0.14276492974432495,0.1453372303526986,0.0025723006083736566,0.0025723006083736566
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0019,alpha,0.92594364340535,0.9260154436107416,7.180020539165888e-05,7.180020539165888e-05
joint_devices,joint_devices_MeanTimeseriesVectorBCC_0019,beta,0.09217629774971763,0.09087495052804771,-0.001301347221669913,0.001301347221669913
