candidateModel,parameterization,negLogLik,rmse,elapsedSeconds,nRows,nParams,AIC,BIC,recovered_propVar_mouse,recovered_propVar_trackpad,recovered_visVarSlope,recovered_retention,recovered_lr,recovered_raw_propVar_mouse,recovered_raw_propVar_trackpad,recovered_raw_visVarSlope,recovered_raw_retention,recovered_raw_lr,recovered_raw_visVarInt,recovered_visVarInt,recovered_raw_motorVar_mouse,recovered_motorVar_mouse,recovered_raw_motorVar_trackpad,recovered_motorVar_trackpad,subsetSlug,subsetLabel,syntheticId,drawIndex,generatingModel,true_propVar_mouse,true_propVar_trackpad,true_visVarSlope,true_retention,true_lr,true_raw_propVar_mouse,true_raw_propVar_trackpad,true_raw_visVarSlope,true_raw_retention,true_raw_lr,true_raw_visVarInt,true_visVarInt,true_raw_motorVar_mouse,true_motorVar_mouse,true_raw_motorVar_trackpad,true_motorVar_trackpad,fitSeed,recovered_senseVar_mouse,recovered_senseVar_trackpad,recovered_c,recovered_raw_senseVar_mouse,recovered_raw_senseVar_trackpad,recovered_raw_c,true_senseVar_mouse,true_senseVar_trackpad,true_c,true_raw_senseVar_mouse,true_raw_senseVar_trackpad,true_raw_c
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,65902.31731685804,7.054962036469562,854.2173997999926,20800,5,131814.63463371608,131854.34817504452,445.1890289989263,363.3359208493666,0.3765009880282983,0.9561604470804763,0.2749102848696617,445.1890289989263,363.3359208493666,0.3765009880282983,0.9561604470804763,0.2749102848696617,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0011,11,MeanTimeseriesVectorBCC,282.05254269852094,211.35734430516735,0.3297014588609538,0.9618872023906868,0.2569250057752055,282.05254269852094,211.35734430516735,0.3297014588609538,0.9618872023906868,0.2569250057752055,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1986804892,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,67094.15444269122,7.244685922700417,236.22811050000018,20800,5,134198.30888538243,134238.02242671087,1000.0,173.4297897445787,0.5730593079322447,0.9747060000915039,0.11515202882776289,1000.0,173.4297897445787,0.5730593079322447,0.9747060000915039,0.11515202882776289,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0012,12,MeanTimeseriesVectorBCC,724.7371471979633,102.18640500872124,0.3773146238841374,0.9767231926343104,0.09289017972016327,724.7371471979633,102.18640500872124,0.3773146238841374,0.9767231926343104,0.09289017972016327,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1971510827,,,,,,,,,,,,
MeanTimeseriesCausalInf,joint_device_fixed_motorVar,70375.21869107106,8.015465611591726,615.0270134999882,20800,5,140760.43738214212,140800.15092347056,,,,0.9640743148174338,0.15280454564604282,,,,0.9640743148174338,0.15280454564604282,,,,,,,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0012,12,MeanTimeseriesVectorBCC,724.7371471979633,102.18640500872124,0.3773146238841374,0.9767231926343104,0.09289017972016327,724.7371471979633,102.18640500872124,0.3773146238841374,0.9767231926343104,0.09289017972016327,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,715498480,989.779378521926,139.0701345553217,0.03336453650352342,989.779378521926,139.0701345553217,0.03336453650352342,,,,,,
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,65907.99600230544,7.051169622364921,940.5067504000035,20800,5,131825.9920046109,131865.70554593933,1000.0,114.0429845469928,0.39382963533492393,0.9755713995030332,0.0965283830253473,1000.0,114.0429845469928,0.39382963533492393,0.9755713995030332,0.0965283830253473,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0012,12,MeanTimeseriesVectorBCC,724.7371471979633,102.18640500872124,0.3773146238841374,0.9767231926343104,0.09289017972016327,724.7371471979633,102.18640500872124,0.3773146238841374,0.9767231926343104,0.09289017972016327,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1588988961,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66889.10008454858,7.183419840671996,229.89359900000272,20800,5,133788.20016909717,133827.9137104256,1000.0,88.12531158671302,0.6275683619039836,0.9583934362379761,0.2082150511827828,1000.0,88.12531158671302,0.6275683619039836,0.9583934362379761,0.2082150511827828,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0013,13,MeanTimeseriesVectorBCC,251.1632573054833,33.228369227782416,0.3338068233744988,0.9657339089834872,0.17274543950282073,251.1632573054833,33.228369227782416,0.3338068233744988,0.9657339089834872,0.17274543950282073,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,2023972699,,,,,,,,,,,,
MeanTimeseriesCausalInf,joint_device_fixed_motorVar,70932.41455100955,8.123714339171471,622.2423131999967,20800,5,141874.8291020191,141914.54264334755,,,,0.9312693491080242,0.25161964787905483,,,,0.9312693491080242,0.25161964787905483,,,,,,,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0013,13,MeanTimeseriesVectorBCC,251.1632573054833,33.228369227782416,0.3338068233744988,0.9657339089834872,0.17274543950282073,251.1632573054833,33.228369227782416,0.3338068233744988,0.9657339089834872,0.17274543950282073,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,843734971,723.5305933378971,12.655986586493443,0.024936091364174448,723.5305933378971,12.655986586493443,0.024936091364174448,,,,,,
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,66001.99388617935,7.030526231953465,1025.8283664000046,20800,5,132013.9877723587,132053.70131368714,254.19549903054272,34.04452997489441,0.33362796351334906,0.9674256324810093,0.16414908434988537,254.19549903054272,34.04452997489441,0.33362796351334906,0.9674256324810093,0.16414908434988537,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0013,13,MeanTimeseriesVectorBCC,251.1632573054833,33.228369227782416,0.3338068233744988,0.9657339089834872,0.17274543950282073,251.1632573054833,33.228369227782416,0.3338068233744988,0.9657339089834872,0.17274543950282073,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1651680223,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,94815.6626875778,9.621764143208615,184.41609810001682,20800,5,189641.3253751556,189681.03891648405,389.5114319868246,725.3362146039377,0.23497679181507736,0.954836628623327,0.3120397510191985,389.5114319868246,725.3362146039377,0.23497679181507736,0.954836628623327,0.3120397510191985,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0014,14,MeanTimeseriesVectorBCC,877.3093300628832,142.9619916329837,0.009109925775373489,0.9583562136061808,0.26648586245473876,877.3093300628832,142.9619916329837,0.009109925775373489,0.9583562136061808,0.26648586245473876,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,494187190,,,,,,,,,,,,
MeanTimeseriesCausalInf,joint_device_fixed_motorVar,103772.15884924369,12.996000744421288,381.90447840001434,20800,5,207554.31769848737,207594.0312398158,,,,0.9320917168324405,1.0,,,,0.9320917168324405,1.0,,,,,,,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0014,14,MeanTimeseriesVectorBCC,877.3093300628832,142.9619916329837,0.009109925775373489,0.9583562136061808,0.26648586245473876,877.3093300628832,142.9619916329837,0.009109925775373489,0.9583562136061808,0.26648586245473876,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,566936480,3335.471627504719,3310.2200409709585,0.055958907969023815,3335.471627504719,3310.2200409709585,0.055958907969023815,,,,,,
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,65898.82954019736,6.9891514875590595,967.6776200000022,20800,5,131807.65908039472,131847.37262172316,1000.0,146.8062137398367,0.009503760218929768,0.9582121903733639,0.26627116421044683,1000.0,146.8062137398367,0.009503760218929768,0.9582121903733639,0.26627116421044683,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0014,14,MeanTimeseriesVectorBCC,877.3093300628832,142.9619916329837,0.009109925775373489,0.9583562136061808,0.26648586245473876,877.3093300628832,142.9619916329837,0.009109925775373489,0.9583562136061808,0.26648586245473876,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,589716361,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,95099.94351017955,10.093832760161362,184.39154159999453,20800,5,190209.8870203591,190249.60056168755,297.8563521081487,329.6695733568695,0.26283675717384997,0.9869094122665045,0.2705141790724947,297.8563521081487,329.6695733568695,0.26283675717384997,0.9869094122665045,0.2705141790724947,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0015,15,MeanTimeseriesVectorBCC,447.6397629618885,275.8632859859144,0.06778962542692392,0.991728519178109,0.2570617769247384,447.6397629618885,275.8632859859144,0.06778962542692392,0.991728519178109,0.2570617769247384,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,433508453,,,,,,,,,,,,
MeanTimeseriesCausalInf,joint_device_fixed_motorVar,174437.5855441049,19.902613079887413,260.853864899982,20800,5,348885.1710882098,348924.8846295382,,,,0.9593676642947614,1.0,,,,0.9593676642947614,1.0,,,,,,,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0015,15,MeanTimeseriesVectorBCC,447.6397629618885,275.8632859859144,0.06778962542692392,0.991728519178109,0.2570617769247384,447.6397629618885,275.8632859859144,0.06778962542692392,0.991728519178109,0.2570617769247384,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,276982457,2517.1191859036694,2442.3883820091805,0.07840773387012374,2517.1191859036694,2442.3883820091805,0.07840773387012374,,,,,,
MeanTimeseriesVectorBCC,joint_device_fixed_motorVar,65895.51763609753,7.032830778977261,645.8518818000157,20800,5,131801.03527219506,131840.7488135235,413.2771832890191,260.84814609088477,0.06651528103144723,0.9919691973523524,0.25743428464733253,413.2771832890191,260.84814609088477,0.06651528103144723,0.9919691973523524,0.25743428464733253,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesVectorBCC_0015,15,MeanTimeseriesVectorBCC,447.6397629618885,275.8632859859144,0.06778962542692392,0.991728519178109,0.2570617769247384,447.6397629618885,275.8632859859144,0.06778962542692392,0.991728519178109,0.2570617769247384,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,670592603,,,,,,,,,,,,
