series_id,series_label,source_paper,source_year,source_doi,source_experiment,subject_id,perturbation_size_deg,extent_window,subject_mean_extent_deg
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,31,8.0,cycles 100-110 inclusive,15.384636393570736
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,32,8.0,cycles 100-110 inclusive,14.728663368049986
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,33,8.0,cycles 100-110 inclusive,27.468504445875336
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,34,8.0,cycles 100-110 inclusive,18.21108236751931
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,35,8.0,cycles 100-110 inclusive,20.912883017631007
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,36,8.0,cycles 100-110 inclusive,13.193840731203714
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,37,16.0,cycles 100-110 inclusive,5.339313824353632
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,38,16.0,cycles 100-110 inclusive,15.025063869684555
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,39,16.0,cycles 100-110 inclusive,8.169344780570787
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,40,16.0,cycles 100-110 inclusive,23.276978147571047
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,41,16.0,cycles 100-110 inclusive,20.765843780355336
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,42,16.0,cycles 100-110 inclusive,18.45140418289769
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,43,16.0,cycles 100-110 inclusive,24.94567412680957
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,44,16.0,cycles 100-110 inclusive,19.46926400026669
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,45,16.0,cycles 100-110 inclusive,11.090298687247431
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,46,16.0,cycles 100-110 inclusive,19.46926400026669
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,47,16.0,cycles 100-110 inclusive,34.91792817149314
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,48,16.0,cycles 100-110 inclusive,20.153777467708252
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,49,32.0,cycles 100-110 inclusive,8.017965683091544
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,50,32.0,cycles 100-110 inclusive,14.084228318718472
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,51,32.0,cycles 100-110 inclusive,7.4733792897595785
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,52,32.0,cycles 100-110 inclusive,6.192728823376414
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,53,32.0,cycles 100-110 inclusive,15.599093188803328
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,54,32.0,cycles 100-110 inclusive,12.983172102858726
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,55,32.0,cycles 100-110 inclusive,7.870396802529558
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,56,32.0,cycles 100-110 inclusive,11.144464015324402
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,57,32.0,cycles 100-110 inclusive,19.861175044635047
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,58,32.0,cycles 100-110 inclusive,24.194259175394322
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,59,32.0,cycles 100-110 inclusive,13.612221658840083
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,60,32.0,cycles 100-110 inclusive,21.93478547023992
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,61,64.0,cycles 100-110 inclusive,7.115449191592174
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,62,64.0,cycles 100-110 inclusive,6.807148449455441
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,63,64.0,cycles 100-110 inclusive,8.744451756082254
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,64,64.0,cycles 100-110 inclusive,13.914241947383282
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,65,64.0,cycles 100-110 inclusive,1.1668975984695822
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,66,64.0,cycles 100-110 inclusive,2.497081201302421
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,67,64.0,cycles 100-110 inclusive,13.422945898452156
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,68,64.0,cycles 100-110 inclusive,1.9020379265732272
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,69,64.0,cycles 100-110 inclusive,1.6796676565792397
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,70,64.0,cycles 100-110 inclusive,10.780560188814295
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,71,64.0,cycles 100-110 inclusive,0.8270979195444091
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,72,64.0,cycles 100-110 inclusive,8.033639917314694
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,73,95.0,cycles 100-110 inclusive,9.615841508930735
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,74,95.0,cycles 100-110 inclusive,9.919245041345949
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,75,95.0,cycles 100-110 inclusive,8.24805667597897
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,76,95.0,cycles 100-110 inclusive,12.542705716090326
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,77,95.0,cycles 100-110 inclusive,3.270183241954285
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,78,95.0,cycles 100-110 inclusive,2.47797797028566
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,79,95.0,cycles 100-110 inclusive,0.00791250922142146
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,80,95.0,cycles 100-110 inclusive,5.050993889877732
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,81,95.0,cycles 100-110 inclusive,6.623144609578547
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,82,95.0,cycles 100-110 inclusive,4.642729587924557
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,83,95.0,cycles 100-110 inclusive,-0.8066156436073196
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Experiment 2,84,95.0,cycles 100-110 inclusive,6.690738618345194
