series_id,series_label,source_paper,source_year,source_doi,source_experiment,group_id,source_file,subject_id,perturbation_size_deg,extent_window,subject_mean_extent_deg
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s02,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,13.105264788280948
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s03,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,19.35971392548909
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s04,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,22.212751855799127
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s05,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,-1.1822080923633758
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s06,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,21.808293488421707
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s07,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,7.2875328913588096
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s08,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,31.42686624817876
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s09,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,4.062763939301224
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s10,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,24.805152351761368
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s11,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,18.145819524976755
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s12,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,21.747509373809116
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s13,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,18.111847632009273
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s14,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,3.762425709728606
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s15,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,24.654582508470966
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s16,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,26.072770742593406
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s17,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,5.609926609972548
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s18,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,42.840527202923994
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s19,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,37.800056728317855
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s20,2.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,8.843557941206393
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s01,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s02,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,4.302233513785929
morehead_multiclamp_local,Morehead multi-clamp,Ryan Morehead multi-size clamp data,,,Local multi-size clamp MATLAB files,1237,data_MultiSizeClamp_1237.mat,msc_1237_s03,3.5,mean aligned trials 301-500 after baseline correction using aligned trials 31-40,18.71927486860378
