n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,phase,clamp_magnitude,n_participants,measure
48,-1.9600215911865249,25.616262141042522,3.69738896069073,-9.398208758425259,5.478165576052208,-0.052369689941414804,-3.2357772827148454,2.1441429138183623,-126.55889854431152,104.4594223022461,Baseline,120,48,Late adaptation mean
49,-3.441475122802112,20.68751076330905,2.955358680472721,-9.383622007007052,2.5006717614028275,-0.8429138183593807,-3.957234954833985,3.0954208374023464,-105.04552001953124,33.92234201431275,Baseline,125,49,Late adaptation mean
48,-4.162666962047417,24.106490010473618,3.479472124190992,-11.162462000675802,2.837128076580968,0.2155979156494054,-3.3829971313476475,2.818647766113283,-160.21837463378907,10.248211789131163,Baseline,130,48,Late adaptation mean
48,-0.7723988691965733,6.560711460112725,0.9469571318928862,-2.6774308961908337,1.132633157797687,0.6064151763916023,-3.2912902832031268,2.4869823455810547,-25.3459732055664,19.69135131835938,Baseline,135,48,Late adaptation mean
49,-1.5163933578802613,7.120594266955349,1.0172277524221927,-3.5616668333202988,0.5288801175597762,-0.8186981201171875,-3.047515869140613,1.0794036865234375,-39.916235351562506,17.729119873046898,Baseline,140,49,Late adaptation mean
48,-1.612415472666422,14.161483466425125,2.0440340728662454,-5.724481628495507,2.4996506831626633,-1.4967273712158253,-3.887823867797852,1.2635255813598592,-41.62133331298829,74.33410034179687,Baseline,145,48,Late adaptation mean
49,-0.09467393524792805,4.989087542879394,0.7127267918399135,-1.5277071956112689,1.338359325115413,0.5329376220703127,-2.760681152343756,2.537359619140625,-13.903668212890626,12.700317764282223,Baseline,150,49,Late adaptation mean
48,-1.2662445386250807,9.360861584157142,1.3511239888649882,-3.9843554060969417,1.4518663288467806,-0.245869255065918,-3.1651573181152433,1.43765563964844,-54.04720382690429,12.474151611328114,Baseline,155,48,Late adaptation mean
49,-1.9416930918790867,5.716737052200504,0.816676721742929,-3.583731694358033,-0.2996544894001403,-0.6219177246093807,-3.964971923828125,1.7301712036132812,-20.571024322509764,7.26627197265625,Baseline,160,49,Late adaptation mean
48,0.3726050059000645,11.72547079331844,1.692425929724374,-3.0321168034132238,3.777326815213353,-0.32681541442871814,-2.5343406677246074,1.9517898559570286,-23.28368301391601,70.32428512573242,Baseline,165,48,Late adaptation mean
49,-0.43899764236138816,5.739443987471031,0.8199205696387187,-2.087558438168055,1.209563153445279,0.36915283203125,-2.268585205078125,2.569314575195312,-21.247265624999983,11.049108886718752,Baseline,170,49,Late adaptation mean
48,15.11666433454181,23.721406890769813,3.423890163485649,8.2286857780969,22.00464289098672,12.861010169982904,0.6906365871429443,23.260777854919432,-15.657340049743652,131.81395530700684,Late adaptation,2,48,Late adaptation mean
49,18.070570138279272,28.703328947318074,4.100475563902582,9.82601144670792,26.315128829850625,21.177979135513304,7.155714416503903,35.487572479248044,-95.6780758857727,65.36668775081634,Late adaptation,3,49,Late adaptation mean
48,16.237081776636963,22.83578092652557,3.296061066271215,9.60626219389183,22.867901359382095,16.972561240196228,5.681071686744688,28.03288507461548,-51.409197616577146,66.93416271209716,Late adaptation,4,48,Late adaptation mean
49,17.87790404792343,22.727149177490165,3.2467355967843092,11.349904608213045,24.405903487633815,21.29500880241394,4.877459716796883,31.576069259643557,-65.7925222247839,64.30029239654542,Late adaptation,5,49,Late adaptation mean
48,15.695186953813149,34.64299701732331,5.000285913371754,5.635909201650946,25.75446470597535,16.292143249511714,4.165680027008056,33.18746719360352,-143.13858222961426,130.68209510482848,Late adaptation,6,48,Late adaptation mean
