term,sum_sq,df_model,f_naive,p_value_naive,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,wald_chi2,p_value_cluster,df_constraint,formula,n_rows,n_participants
C(clamp_magnitude),58462.21694293729,39.0,1.2200529982625017,0.16615692365284784,0.024146380527051328,0.024996068075446607,0.02281751233794805,0.06578628147712304,0.024028777797706416,0.07069281434604106,59.645526801122266,0.01823552806703047,39.0,value ~ C(clamp_magnitude) * C(pointer),1936,484
C(pointer),3157.385169705003,1.0,2.5697778895794565,0.10909317764099888,0.0013040802720940244,0.0013826641970351306,4.361403342433456e-06,0.01364776944715503,4.7473490207397865e-06,0.014751690261851776,5.012654769490708,0.025162691511603906,1.0,value ~ C(clamp_magnitude) * C(pointer),1936,484
C(clamp_magnitude):C(pointer),79144.69175691216,39.0,1.6516773315119297,0.007103756935573405,0.032688767956300616,0.03354243847173321,0.027165577430725726,0.07914485785724665,0.0284835262674512,0.08402541160334157,53.4699441670992,0.06126276304799514,39.0,value ~ C(clamp_magnitude) * C(pointer),1936,484
Residual,2280394.309070614,1856.0,,,,,,,,,,,,value ~ C(clamp_magnitude) * C(pointer),1936,484
