pointer,target_angles_degrees,human_mean_bias,model_pred_bias
Mouse,45,-3.5857721297790963,-4.195458196186422
Mouse,135,-4.858516591636713,-4.308161858225986
Mouse,225,-4.671169867428867,-4.033983189000111
Mouse,315,-3.9679936204791537,-4.48495214158703
Trackpad,45,0.7414537330321281,-2.7039900757288535
Trackpad,135,2.9806415123465175,2.9789632233663497
Trackpad,225,-6.156202446603028,-2.6803658715140273
Trackpad,315,6.993527436287611,6.993775343602351
