contrast,estimate,se,t_value,p,ci_low,ci_high,p_holm,reject_holm
Incorrect vs Near-zero,-6.3836562445737135,1.8794478754822015,-3.396559344821355,0.0006823875872546263,-10.067306391339148,-2.7000060978082785,0.0006823875872546263,True
Correct vs Near-zero,7.6235010451914915,1.8538359416459507,4.112284627744823,3.9176288504735305e-05,3.990049366319531,11.256952724063453,7.835257700947061e-05,True
Incorrect vs Correct,-14.007157289765205,2.441458529945979,-5.73720877006874,9.624958604549442e-09,-18.79232807820743,-9.22198650132298,2.8874875813648327e-08,True
