n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,pointer,target_angles_degrees,n_participants
274,-3.5857721297790963,9.630007770534656,0.5817700453121266,-4.731097942633009,-2.4404463169251835,-3.464545249938965,-9.036343431472776,2.0153623580932614,-38.62808256745338,32.65397491455078,Mouse,45,274
277,-4.858516591636713,10.505418509718227,0.6312094232283859,-6.10111315471114,-3.615920028562286,-4.561859130859377,-11.5384407043457,1.8830543518066436,-36.424723052978514,35.75708084106445,Mouse,135,277
275,-4.671169867428867,10.146501112869702,0.6118570386602237,-5.8757081178439075,-3.466631617013827,-5.463488769531248,-10.64125442504883,2.1951042175292943,-31.70590667724609,33.34506711959838,Mouse,225,275
277,-3.9679936204791537,10.338993071249455,0.6212098877573119,-5.19090513458022,-2.7450821063780872,-3.7531585693359375,-10.360992431640629,2.6513092041015502,-35.92080993652344,24.45870018005371,Mouse,315,277
194,0.7414537330321281,9.820693900678753,0.705084730927977,-0.6492072158970442,2.1321146819613004,0.308766746520995,-4.7145567417144765,5.229797458648682,-36.044610595703126,36.14770660400391,Trackpad,45,194
191,2.9806415123465175,8.21676106872997,0.5945439647088424,1.8078867865195287,4.153396238173507,2.806550598144532,-1.6686386108398432,7.977022552490235,-28.73633575439453,34.54788818359375,Trackpad,135,191
191,-6.156202446603028,6.562540829248593,0.47484878902389516,-7.092855065141859,-5.2195498280641965,-6.124101257324219,-10.623087310791018,-2.1478788852691686,-20.69768257141113,14.725098037719729,Trackpad,225,191
191,6.993527436287611,9.434906814808949,0.6826858974496164,5.64691026411338,8.340144608461841,6.41226806640625,1.701470947265622,12.148267745971676,-35.62879180908203,38.40601043701172,Trackpad,315,191
