ppid,clamp_magnitude,base_sd,n_baseline,pointer
104274630779,60,6.504081582054726,10,Mouse
104274630779,70,9.819222284234476,10,Mouse
104274630779,80,12.294280824173727,10,Mouse
104274630779,90,7.908441129263913,10,Mouse
108424307545,100,8.724003728252402,10,Mouse
108424307545,110,6.07052339715747,10,Mouse
108424307545,120,6.3442450584665835,10,Mouse
108424307545,130,7.147838265103057,10,Mouse
112768063321,20,6.309517602967368,10,
112768063321,30,5.664482246590094,10,
112768063321,40,2.280023870253362,10,
112768063321,50,5.161213909543802,10,
114463583799,140,4.804767029734512,10,Trackpad
114463583799,150,6.607497887819095,10,Trackpad
114463583799,160,5.006584420699924,10,Trackpad
114463583799,170,5.723143637803487,10,Trackpad
115921796998,55,5.685461813287915,10,Mouse
115921796998,65,6.5882434032547454,10,Mouse
115921796998,75,5.990830317560966,10,Mouse
115921796998,85,20.952068418667984,10,Mouse
11866547632,60,6.499651910956644,10,Trackpad
11866547632,70,11.617891540745468,10,Trackpad
11866547632,80,9.773209931678819,10,Trackpad
11866547632,90,32.52608709189408,10,Trackpad
119388378225,95,9.03982377542315,10,Trackpad
119388378225,105,5.043999504446743,10,Trackpad
119388378225,115,5.134652328262028,10,Trackpad
119388378225,125,6.876247872760117,10,Trackpad
123183469520,2,7.015205902351399,10,Mouse
123183469520,4,6.645980203862423,10,Mouse
123183469520,6,5.420734625842351,10,Mouse
123183469520,8,5.336197381955004,10,Mouse
12978613609,2,10.16631384000114,10,Mouse
12978613609,4,8.219547536558586,10,Mouse
12978613609,6,10.891167551642068,10,Mouse
12978613609,8,12.763046659777835,10,Mouse
131377047859,60,3.883453486853529,10,Trackpad
131377047859,70,5.450600714030025,10,Trackpad
131377047859,80,1.7862304009480183,10,Trackpad
131377047859,90,4.030390063797188,10,Trackpad
132102677831,140,11.485549106360857,10,Mouse
132102677831,150,28.982274520765902,10,Mouse
132102677831,160,14.11463335588904,10,Mouse
132102677831,170,16.96805218163687,10,Mouse
132109080906,100,8.379639663748463,10,Mouse
132109080906,110,5.380831997949026,10,Mouse
132109080906,120,6.075209602610712,10,Mouse
132109080906,130,4.97151357252487,10,Mouse
132760789943,60,6.639545943197654,10,Mouse
132760789943,70,6.784775522213167,10,Mouse
132760789943,80,6.666628793910603,10,Mouse
132760789943,90,6.151470306715025,10,Mouse
134751847945,20,3.103690445396076,10,Trackpad
134751847945,30,3.205014374829799,10,Trackpad
134751847945,40,7.2181150822912254,10,Trackpad
134751847945,50,7.792689031083934,10,Trackpad
139654613099,15,24.976432791459512,10,Mouse
139654613099,25,18.68586906800644,10,Mouse
139654613099,35,17.684895464444217,10,Mouse
139654613099,45,14.206379913451908,10,Mouse
140384659403,100,10.714305072660734,10,Mouse
140384659403,110,13.39825044358948,10,Mouse
140384659403,120,5.3095657661340105,10,Mouse
140384659403,130,7.4583766964248435,10,Mouse
141351339407,15,8.25988736082926,10,Trackpad
141351339407,25,5.625521475662516,10,Trackpad
141351339407,35,4.275921228627855,10,Trackpad
141351339407,45,5.938106254278189,10,Trackpad
141579159069,3,8.435905518180022,10,Trackpad
141579159069,5,19.489955481744808,10,Trackpad
141579159069,7,3.6402793147632195,10,Trackpad
141579159069,10,7.7711320301583475,10,Trackpad
142243756214,95,8.350719622302028,10,Trackpad
142243756214,105,10.645785548526591,10,Trackpad
142243756214,115,26.77580707518942,10,Trackpad
142243756214,125,6.808130860587205,10,Trackpad
146859203465,100,6.6264658162253856,10,Trackpad
