term,sum_sq,df_num,f_value,p_value,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,df_den,formula,n_rows,n_participants
C(phase),62810.35901567443,1.0,288.52655962471044,1.1330141687048795e-50,0.18861794664526546,0.3834104669589341,0.15298128210413683,0.23833962226359864,0.298322753436591,0.5126053538965457,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(group),27395.821030642892,9.0,13.98287040180943,5.311744998788969e-20,0.0822689694891176,0.21335377219626497,0.05104458661733779,0.1020330133692988,0.12426071883157155,0.30546244225915203,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(pointer),1280.1567978378525,1.0,5.8805464966084235,0.01568981765212474,0.003844279038938419,0.012514981819216191,0.00038246182995577875,0.00911824234584241,0.0013161990218764164,0.03274144694559232,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(phase):C(group),22158.726386193877,9.0,11.30984900874982,4.649732890733071e-16,0.06654210446711732,0.17990576990848617,0.05085486848977744,0.10159829166000257,0.12962997339658427,0.3064917683163424,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(phase):C(pointer),2775.868358946089,1.0,12.751268423381195,0.0003928943966869697,0.008335863673240811,0.02674616570093186,0.0020705021732011345,0.018375220193017582,0.008354411223900573,0.06517420034788653,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(group):C(pointer),3645.27520963684,9.0,1.860554234832673,0.055831123867552956,0.010946670832227013,0.0348313316363496,0.0046328333369766135,0.021245567116717896,0.012585128875949186,0.08162783402633239,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(phase):C(group):C(pointer),3316.8505044686967,9.0,1.692925745656094,0.08811657682398809,0.009960419607314688,0.031792939522156324,0.005970490578744459,0.025615385583253335,0.019515205279449457,0.08473593309490698,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
Residual,101009.78787249554,464.0,,,,,,,,,464.0,value ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
