term,sum_sq,df_model,f_naive,p_value_naive,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,wald_chi2,p_value_cluster,df_constraint,formula,n_rows,n_participants
C(clamp_magnitude),209117.05037400883,39.0,8.977903200913111,1.4098084263942933e-46,0.15296172036313552,0.15871091887803251,0.12683723002193606,0.2190527431089936,0.13430107031228797,0.23107474016552054,360.30383095465066,1.2423112848234672e-53,39.0,value ~ C(clamp_magnitude) * C(pointer),1936,484
C(pointer),16253.499449890654,1.0,27.214287092195093,2.0246550870162894e-07,0.011888859532639795,0.014450977394726394,0.0028209028823121224,0.02540925510558076,0.0036186459755983926,0.03221737869105699,3.779227573417834,0.051892610946754986,1.0,value ~ C(clamp_magnitude) * C(pointer),1936,484
C(clamp_magnitude):C(pointer),33269.52771429189,39.0,1.4283416814879335,0.042510525813459536,0.024335481902338515,0.029139075375639374,0.023106066080757732,0.05520183113978184,0.028795038660463932,0.06893734741850005,67.70075298575115,0.0029494735546387054,39.0,value ~ C(clamp_magnitude) * C(pointer),1936,484
Residual,1108480.0743374475,1856.0,,,,,,,,,,,,value ~ C(clamp_magnitude) * C(pointer),1936,484
