n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,clamp_magnitude,n_participants
48,-0.39136544068654405,3.9332620816645383,0.5677174804105922,-1.533465696381117,0.7507348150080289,0.04976348876953125,-0.9720078468322761,0.8620372772216802,-17.592975234985353,7.293666076660157,2,48
49,0.5537184540106327,1.5941857962544754,0.22774082803635362,0.09581482943061698,1.0116220785906485,0.3970840454101561,-0.269664001464838,0.9926284790039064,-3.926880645751953,4.562818908691407,3,49
48,-1.0400535980860395,5.5840574302411365,0.8059892651300126,-2.661494856379367,0.581387660207288,-0.0513397216796875,-1.309237289428711,1.084617233276367,-17.37804260253906,19.336643981933594,4,48
49,0.4731135348884429,2.1018104983079406,0.30025864261542007,-0.13059692823119307,1.076823998008079,0.7205780029296875,-0.3079055786132812,1.6375839233398437,-10.065432739257812,3.6764251708984377,5,49
48,1.132327755292257,5.631771621182702,0.8128762153760821,-0.5029682598271299,2.767623770411644,0.8182287216186523,-0.058930587768554046,1.238989448547364,-18.88828887939453,17.003379821777344,6,48
49,-0.11377298977910265,5.310064317716797,0.7585806168166853,-1.639001544410759,1.4114555648525537,0.7767669677734375,0.0125488281250001,1.4320556640625002,-34.80325164794922,3.0885324478149414,7,49
48,0.6357671072085695,4.115308743635057,0.5939936527340303,-0.5591939888948083,1.8307282033119474,0.7077713012695326,-0.19045791625976632,1.6850563049316356,-16.871717834472655,18.19165763854981,8,48
49,-0.071432300489776,5.6156363432996645,0.8022337633285235,-1.684431388777797,1.5415667877982453,0.6131988525390625,-0.2857887268066399,1.88658447265625,-35.60011100769043,4.044564819335937,10,49
50,1.4487479279041287,4.051630817911094,0.5729871252418665,0.29728718982420377,2.6002086659840535,0.7611669540405266,-0.4763435363769531,1.9539330482482904,-4.153431701660156,19.297571182250977,15,50
49,1.594929474227282,5.137722535897799,0.7339603622711142,0.11920325912650687,3.070655689328057,1.0121627807617173,0.0704254150390681,1.5376876831054689,-2.274091339111328,35.40477294921875,20,49
50,0.94713138961792,3.9932245736915255,0.5647272349716076,-0.18773047751348793,2.081993256749328,0.48812103271484236,-0.67481689453125,1.4370567321777337,-9.023138427734375,20.54764251708984,25,50
49,2.092622904874841,7.280846295992892,1.040120899427556,0.001319672354418877,4.183926137395263,0.6920928955078128,0.0539535522460937,1.837171936035156,-11.516006469726562,35.43126525878906,30,49
50,1.1553881626129152,7.605004425887062,1.0755100400996895,-1.005930181255296,3.3167065064811263,0.46953601837158204,-0.559040641784668,1.792599296569824,-15.08283233642578,33.21819152832031,35,50
49,1.343780116645657,5.1320739685536285,0.7331534240790898,-0.13032364047897915,2.8178838737702936,0.4710418701171875,0.0019622802734375,1.5364356994628907,-3.776685523986816,34.6456657409668,40,49
50,1.4304248504638672,4.752050153564908,0.6720413776248642,0.07990713966272023,2.7809425612650145,1.0083496093750002,0.11239814758300763,1.8371060848236083,-17.719815063476563,17.404316711425782,45,50
