n,median,ci_low,ci_high,pointer,mean,sd,n_participants
1128,10.516032159455378,9.97665259257275,11.143668739488364,Mouse,20.09195251154626,21.848310185085403,282
808,7.632694197533725,7.421202430962513,8.097322014305913,Trackpad,15.267050863872218,19.625682638445774,202
