term,sum_sq,df_num,f_value,p_value,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,df_den,formula,n_rows,n_participants
C(group),48984.521630947405,9.0,16.66043427049691,7.802227617229453e-24,0.23248014677059434,0.2442306314543002,0.17444575151562564,0.33608837234724437,0.18718925296318775,0.3610917552799347,464.0,value ~ C(group) * C(pointer),484,484
C(pointer),4063.374862472712,1.0,12.43818022566163,0.0004624742871274034,0.019284744506207176,0.026106598383383913,0.004000800584303205,0.042190596336462036,0.005648075840033813,0.05929523268324228,464.0,value ~ C(group) * C(pointer),484,484
C(group):C(pointer),6074.073347142978,9.0,2.0658913547564133,0.03114716223180392,0.028827503387254032,0.03852733325551348,0.01893700877477143,0.06775142755247548,0.02689466999224274,0.09211285590537391,464.0,value ~ C(group) * C(pointer),484,484
Residual,151582.13677411535,464.0,,,,,,,,,464.0,value ~ C(group) * C(pointer),484,484
