measure,n_mouse,mouse_mean,mouse_sd,mouse_ci_low,mouse_ci_high,mouse_median,mouse_q25,mouse_q75,mouse_median_ci_low,mouse_median_ci_high,n_trackpad,trackpad_mean,trackpad_sd,trackpad_ci_low,trackpad_ci_high,trackpad_median,trackpad_q25,trackpad_q75,trackpad_median_ci_low,trackpad_median_ci_high,welch_t,welch_df,welch_p,hedges_g_mouse_minus_trackpad,hedges_g_ci_low,hedges_g_ci_high,mann_whitney_u,mann_whitney_p,rank_biserial_mouse_minus_trackpad,rank_biserial_ci_low,rank_biserial_ci_high,cluster_formula,cluster_estimate_mouse_minus_trackpad,cluster_se,cluster_ci_low,cluster_ci_high,cluster_p,cluster_n_rows,cluster_n_participants,log_cluster_formula,log_cluster_estimate_log_mouse_minus_trackpad,log_cluster_ci_low,log_cluster_ci_high,log_cluster_p,log_cluster_ratio_mouse_over_trackpad,log_cluster_ratio_ci_low,log_cluster_ratio_ci_high
Late adaptation overall,282,18.25464797509078,22.01014920543072,15.674639838639482,20.834656111542078,16.387564319372174,3.397871291637421,31.660237281303854,13.207827365398408,18.849259233474733,202,13.156655390115626,18.72971114989651,10.558133989269095,15.755176790962157,8.207372617721557,2.265617108345033,20.916635393723844,6.463904905319212,11.529301786422732,2.74286283545135,467.86534688031594,0.006324331092888206,0.24583182545786306,0.06277475183993411,0.43340097419349016,33303.0,0.0014882810472810933,0.16926479882030754,0.07204550242258279,0.26911997050768904,"value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude)",5.932618236820135,1.6021574481401764,2.7924473409027897,9.07278913273748,0.00021315446477049267,1936,484,,,,,,,,
Late adaptation peak range (15-50 deg),50,35.40886083061117,19.689048211030425,29.813295241332497,41.00442641988984,35.54504218895454,25.180572014302015,43.39677990023047,31.28441449427046,39.45992567688227,49,21.547346478529217,19.761655042429627,15.871136407602194,27.22355654945624,20.437676560878753,8.34849052429199,35.030971127748494,11.641366100311277,27.199581909179688,3.4957676661309747,96.94373179959378,0.0007146672783612879,0.6972904052394236,0.3224409791495374,1.1495856834186873,1774.0,0.00012368726468124836,0.4481632653061225,0.24730612244897973,0.6416530612244896,"value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude)",13.943090919381566,4.098560573688592,5.910059806496104,21.97612203226703,0.0006690730904363976,396,99,,,,,,,,
Early rotation variability overall,282,24.04365373946264,28.69154694409326,20.680458702835157,27.406848776090126,14.312302437428944,9.945510668928897,24.271091663434323,13.369745113299285,15.888505239719663,202,21.692938967605063,33.8035432162808,17.003105271348,26.382772663862124,9.820289165315987,7.513702771261103,18.328125708667272,9.172623646072076,11.52810810466065,0.802708131581934,388.0565304740914,0.422634790947758,0.07589213044966893,-0.10661775364242057,0.2691690135393143,35683.0,2.079897596614259e-06,0.2528263464644336,0.14830331437399052,0.3552612176111227,"value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude)",2.6147895724685446,2.875785064815885,-3.021645581848775,8.251224726785864,0.36322147959005346,1936,484,"log_value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude)",0.28271142055258514,0.14888823544573662,0.4165346056594337,3.464445781964089e-05,1.32672224179698,1.1605432743586974,1.516696486696255
Late adaptation variability overall,282,20.09195251154626,19.129874372229278,17.849567370537542,22.33433765255498,12.205632754134118,8.202368832978589,23.899132723262564,11.242575500226211,14.21741950300393,202,15.267050863872216,17.503093581184817,12.83870784844992,17.695393879294514,9.087550659511338,6.286016082434198,15.49952633776547,8.1664982600654,9.975848535385419,2.876081162489174,454.24386483897524,0.00421585186902956,0.2608377776688791,0.07906803259207013,0.4413748764639387,35478.0,4.019017179504874e-06,0.24562881820096893,0.13816621023804507,0.34808299978934065,"value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude)",5.161413751169485,1.6682485381906558,1.891706699054207,8.431120803284763,0.001975362364929699,1936,484,"log_value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude)",0.31249571419424693,0.1848970436131871,0.44009438477530677,1.5862387175905108e-06,1.3668320831844376,1.2030945674814026,1.5528537773496252
Task-aligned baseline bias overall,281,-0.08215502311618084,8.217499339114907,-1.047129595943342,0.8828195497109803,-0.1674746513366716,-4.260952997207642,3.8611626625061044,-1.1715771675109816,0.9352298736572275,199,-0.09267313658701302,7.193810985638327,-1.0983147688099808,0.9129684956359547,-0.35816211700439715,-2.784354138374328,2.0746029138565047,-1.2047540664672858,0.5590272903442399,0.014869424693677812,457.03390899394606,0.9881428414403519,0.0013446770542856117,-0.1786868186238945,0.18537628323423003,28285.0,0.8281452463766884,0.011641839088681882,-0.0846080938500331,0.11539905935370783,"value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude)",0.06904733528038286,0.5826619538611649,-1.0729491094492392,1.211043780010005,0.9056689199839978,1870,480,,,,,,,,
Raw signed baseline bias overall,281,-4.283633709047986,7.008496072345316,-5.1066359661191365,-3.460631451976835,-3.506709679961206,-7.814260339736938,-0.20406727790832746,-4.040220351815224,-2.5468137264251727,199,1.2257965582588264,7.088679863462021,0.23485148027030822,2.2167416362473444,1.2513987541198714,-1.2385493278503439,3.6574822902679403,0.5600508689880359,1.8979813575744608,-8.428204115407919,423.50319102939636,5.543502721319781e-16,-0.7811589077286173,-0.9770405936800012,-0.5899537009033882,13416.0,2.631455967106003e-22,-0.5201630930452976,-0.601893810690463,-0.42977521057243523,"value ~ C(pointer, Treatment(reference='Trackpad')) + C(clamp_magnitude) + C(target_clamp_sign)",-5.364660984204585,0.5181860140710997,-6.380286909076306,-4.349035059332865,4.065469801240964e-25,1870,480,,,,,,,,
