term,sum_sq,df_num,f_value,p_value,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,df_den,formula,n_rows,n_participants
C(phase),14200.692881754632,1.0,167.7415480842102,5.76602940440458e-33,0.08635606723787545,0.2655224254173172,0.06015858723190214,0.14348691566261318,0.19847165922811583,0.3849875020968718,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(group),4218.821010859969,9.0,5.5370660302316494,2.920534916288288e-07,0.025655141894271417,0.09698391624759552,0.014380716015244651,0.045205311094792505,0.054290393512646015,0.17247780707279567,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(pointer),83.8448384285275,1.0,0.9903927304097787,0.3201650994149644,0.0005098702271200791,0.0021299208454484877,1.3641233929612364e-06,0.005228170174827376,5.595499076359296e-06,0.022521010486475774,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(phase):C(group),1328.2005358558833,9.0,1.7432202147215463,0.07700324419116936,0.008076942141824618,0.0327065713898382,0.006117212399074516,0.025287018745823987,0.025348276037967556,0.10052703183929097,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(phase):C(pointer),168.8883409550802,1.0,1.9949443313134083,0.15849520882565835,0.0010270296702176184,0.00428104286448018,7.728038773415722e-06,0.005564065281934954,3.64537447379668e-05,0.02240777138392407,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(group):C(pointer),2725.7264303991096,9.0,3.5774277189330217,0.00025654397143741974,0.016575459863513078,0.06488725090609032,0.0077514907785896465,0.03441369053894013,0.03030939019210234,0.13522329661564397,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
C(phase):C(group):C(pointer),846.0033446739075,9.0,1.11035200810792,0.353620955593878,0.005144644865180728,0.021082936941050654,0.0028100649374269955,0.017586822214560864,0.012840825047474616,0.0691320665907809,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
Residual,39281.3919532104,464.0,,,,,,,,,464.0,abs_dev ~ C(ppid) + C(phase) * C(group) * C(pointer),968,484
