ppid,clamp_magnitude,baseline_bias,pointer
104274630779,60,-7.93392391204834,Mouse
104274630779,70,12.40481262207031,Mouse
104274630779,80,14.570980834960938,Mouse
104274630779,90,3.7659088134765613,Mouse
108424307545,100,12.806536865234374,Mouse
108424307545,110,18.546047973632813,Mouse
108424307545,120,19.48960676193237,Mouse
108424307545,130,7.06072692871094,Mouse
112768063321,20,2.535775756835926,
112768063321,30,3.250377273559571,
112768063321,40,-7.377291870117188,
112768063321,50,-3.5025405883789005,
114463583799,140,6.253083038330078,Trackpad
114463583799,150,-9.321920776367188,Trackpad
114463583799,160,-2.754159927368165,Trackpad
114463583799,170,3.7591278076171903,Trackpad
115921796998,55,-4.4995269775390625,Mouse
115921796998,65,-7.00944595336914,Mouse
115921796998,75,2.2512298583984376,Mouse
115921796998,85,-6.581576538085935,Mouse
11866547632,60,1.7197994232177742,Trackpad
11866547632,70,-13.253767395019526,Trackpad
11866547632,80,12.148586273193354,Trackpad
11866547632,90,5.158675384521483,Trackpad
119388378225,95,-3.1681079864501944,Trackpad
119388378225,105,-6.210208129882813,Trackpad
119388378225,115,3.4092681884765623,Trackpad
119388378225,125,1.067083740234375,Trackpad
123183469520,2,-0.6134178161621121,Mouse
123183469520,4,2.0044326782226554,Mouse
123183469520,6,-4.12187194824219,Mouse
123183469520,8,8.880197143554682,Mouse
12978613609,2,-16.629551696777348,Mouse
12978613609,4,-14.45126953125,Mouse
12978613609,6,-4.309589767456055,Mouse
12978613609,8,-23.4753059387207,Mouse
131377047859,60,-0.8564186096191385,Trackpad
131377047859,70,2.4178863525390564,Trackpad
131377047859,80,-3.0476615905761717,Trackpad
131377047859,90,-10.077317810058593,Trackpad
132102677831,140,3.950775146484376,Mouse
132102677831,150,-2.9911315917968855,Mouse
132102677831,160,-10.397933197021484,Mouse
132102677831,170,10.090945434570326,Mouse
132109080906,100,10.499172973632813,Mouse
132109080906,110,-7.322405242919919,Mouse
132109080906,120,-6.897760391235353,Mouse
132109080906,130,-9.598115539550786,Mouse
132760789943,60,1.194174575805664,Mouse
132760789943,70,7.335571289062505,Mouse
132760789943,80,0.46872024536132806,Mouse
132760789943,90,-7.053704833984386,Mouse
134751847945,20,0.017168426513670988,Trackpad
134751847945,30,10.995657348632822,Trackpad
134751847945,40,-10.599786376953125,Trackpad
134751847945,50,-16.82648315429687,Trackpad
139654613099,15,-7.808340454101563,Mouse
139654613099,25,-15.636696720123291,Mouse
139654613099,35,-33.53943481445313,Mouse
139654613099,45,-3.920726013183611,Mouse
140384659403,100,-15.832577514648444,Mouse
140384659403,110,-16.375572204589837,Mouse
140384659403,120,5.655288696289051,Mouse
140384659403,130,-6.8793586730957035,Mouse
141351339407,15,-3.4214111328124988,Trackpad
141351339407,25,7.573190307617187,Trackpad
141351339407,35,-0.8421661376953182,Trackpad
141351339407,45,13.757567596435544,Trackpad
141579159069,3,-8.536535644531256,Trackpad
141579159069,5,-6.76557693481445,Trackpad
141579159069,7,-0.768209075927733,Trackpad
141579159069,10,-0.7938796997070401,Trackpad
142243756214,95,5.9011474609375,Trackpad
142243756214,105,6.9889068603515625,Trackpad
142243756214,115,-16.147961807250976,Trackpad
142243756214,125,-20.6308837890625,Trackpad
146859203465,100,8.97948303222655,Trackpad
146859203465,110,7.54293212890625,Trackpad
146859203465,120,-19.379292297363286,Trackpad
146859203465,130,-2.149553298950193,Trackpad
149687730008,55,6.71158504486084,Mouse
149687730008,65,-31.98372802734375,Mouse
149687730008,75,-4.310489654541014,Mouse
149687730008,85,-26.400724792480467,Mouse
154695465695,95,29.943510055541992,Trackpad
154695465695,105,-3.474383544921875,Trackpad
