n,median,ci_low,ci_high,pointer,mean,sd,n_participants
1128,12.914772311446193,12.454735546280457,13.66392514894798,Mouse,24.043653739462645,32.84262154680895,282
808,9.132133171014388,8.678516798070202,9.557249961004281,Trackpad,21.692938967605055,38.599658240890726,202
