index,ppid,clamp_magnitude,group,pointer,value,n_trials
868,524084624601,3,2,Mouse,16.312344561131113,20
880,526591815054,3,2,Mouse,3.4634892017418584,20
976,560719192726,3,2,Trackpad,5.628345121752988,20
992,568911038571,3,2,Mouse,84.68606283674701,20
996,571510386420,3,2,Mouse,4.742679096266324,20
1060,607190310023,3,2,Mouse,10.473569514593335,20
1076,610091723036,3,2,Mouse,48.284393267753956,20
1084,616859448142,3,2,Mouse,19.8760348177311,20
1188,662896639900,3,2,Mouse,90.61308414846796,20
1196,665972822112,3,2,Mouse,31.354028546592613,20
1288,706570674898,3,2,Trackpad,7.659935041443412,20
1308,711049351608,3,2,Trackpad,5.259890671592709,20
1376,747682140674,3,2,Trackpad,12.125539420092247,20
1408,75254959287,3,2,Trackpad,9.190098617147088,20
1432,758610083023,3,2,Trackpad,16.566257987389093,20
1448,764955634018,3,2,Mouse,8.610267457387433,20
1472,781632843660,3,2,Mouse,68.34889088946237,20
1496,788534438470,3,2,Trackpad,43.815123903057035,20
1520,802470273105,3,2,Trackpad,122.86490695077342,20
1560,818668159889,3,2,Mouse,22.16304764607728,20
1628,841781280934,3,2,Trackpad,6.298312970294078,20
1664,856257066596,3,2,Trackpad,11.327656768547666,20
1728,881636635866,3,2,Mouse,43.94279045232722,20
1820,928185260389,3,2,Mouse,5.383692948997537,20
1896,982309131650,3,2,Trackpad,10.325598692585812,20
1908,993634722428,3,2,Trackpad,9.63277760238967,20
69,141579159069,5,2,Trackpad,7.421955546486997,20
93,157286867732,5,2,Trackpad,5.587604082491984,20
141,18545178463,5,2,Trackpad,5.928430964302946,20
245,244346351129,5,2,Mouse,45.898510018566604,20
325,281449537957,5,2,Trackpad,8.964094657047243,20
341,286533593898,5,2,Mouse,15.876619078617537,20
381,307390059111,5,2,Mouse,22.836768021873468,20
409,314751828555,5,2,Trackpad,6.782138397811548,20
449,340447094989,5,2,Mouse,14.931351120894382,20
489,363396258093,5,2,Mouse,18.138810532701573,20
513,372881010640,5,2,Mouse,6.318614901104672,20
605,413611575961,5,2,Trackpad,9.712468957135139,20
621,42404767125,5,2,Trackpad,4.645550842983527,20
625,424813729943,5,2,Mouse,104.05823530576701,20
673,450325436890,5,2,Mouse,13.526787038747742,20
681,453578034881,5,2,Mouse,18.078632718172486,20
685,455088283633,5,2,Trackpad,6.0196243622562315,20
717,47219052677,5,2,Trackpad,8.774896824578914,20
769,485655207419,5,2,Mouse,7.477636155785058,20
785,490372725762,5,2,Trackpad,43.322189887422425,20
805,497830706648,5,2,Trackpad,76.42594094717026,20
817,499781516147,5,2,Mouse,10.582771775666291,20
841,514699809951,5,2,Mouse,4.919519348498375,20
869,524084624601,5,2,Mouse,14.292844094855356,20
881,526591815054,5,2,Mouse,4.473819891504771,20
977,560719192726,5,2,Trackpad,3.4234401569923785,20
993,568911038571,5,2,Mouse,35.28618741759292,20
997,571510386420,5,2,Mouse,7.194124370520646,20
1061,607190310023,5,2,Mouse,8.527551130833075,20
1077,610091723036,5,2,Mouse,21.832763600635438,20
1085,616859448142,5,2,Mouse,14.346986804917053,20
1189,662896639900,5,2,Mouse,83.38561797226673,20
1197,665972822112,5,2,Mouse,17.559640530707316,20
1289,706570674898,5,2,Trackpad,22.82072640280477,20
1309,711049351608,5,2,Trackpad,6.308682882608918,20
1377,747682140674,5,2,Trackpad,8.460448618204348,20
1409,75254959287,5,2,Trackpad,9.888367644647177,20
1433,758610083023,5,2,Trackpad,40.16832897441194,20
1449,764955634018,5,2,Mouse,19.83500471394932,20
1473,781632843660,5,2,Mouse,92.37496843619117,20
1497,788534438470,5,2,Trackpad,33.310744631740626,20
1521,802470273105,5,2,Trackpad,13.958638673973354,20
1561,818668159889,5,2,Mouse,67.70600830056695,20
1629,841781280934,5,2,Trackpad,9.926653053229389,20
1665,856257066596,5,2,Trackpad,9.663437397754642,20
1729,881636635866,5,2,Mouse,44.58996460036448,20
1821,928185260389,5,2,Mouse,7.312396614387887,20
1897,982309131650,5,2,Trackpad,6.490501258399226,20
1909,993634722428,5,2,Trackpad,6.340760745710329,20
70,141579159069,7,2,Trackpad,5.62227128149258,20
94,157286867732,7,2,Trackpad,8.902530694255011,20
142,18545178463,7,2,Trackpad,9.780767176414068,20
246,244346351129,7,2,Mouse,49.4633328056802,20
326,281449537957,7,2,Trackpad,8.400021182979293,20
342,286533593898,7,2,Mouse,6.177052130423363,20
382,307390059111,7,2,Mouse,26.895789550202014,20
410,314751828555,7,2,Trackpad,5.961077563947529,20
450,340447094989,7,2,Mouse,18.15111035910209,20
490,363396258093,7,2,Mouse,9.200432888511703,20
514,372881010640,7,2,Mouse,8.697275030129937,20
606,413611575961,7,2,Trackpad,19.429208899960113,20
622,42404767125,7,2,Trackpad,4.538426478575933,20
626,424813729943,7,2,Mouse,81.41430448530006,20
674,450325436890,7,2,Mouse,6.17813779072735,20
682,453578034881,7,2,Mouse,25.38152035252531,20
686,455088283633,7,2,Trackpad,7.718991996194709,20
718,47219052677,7,2,Trackpad,7.112336233519143,20
770,485655207419,7,2,Mouse,15.81534105922618,20
786,490372725762,7,2,Trackpad,40.24142529019013,20
806,497830706648,7,2,Trackpad,84.39168542239419,20
818,499781516147,7,2,Mouse,12.571928655690854,20
842,514699809951,7,2,Mouse,5.755281696024317,20
870,524084624601,7,2,Mouse,19.91961384587474,20
882,526591815054,7,2,Mouse,6.004604247900605,20
978,560719192726,7,2,Trackpad,3.5529919892329116,20
994,568911038571,7,2,Mouse,34.40088909051307,20
998,571510386420,7,2,Mouse,8.627688550985464,20
1062,607190310023,7,2,Mouse,8.716287330075083,20
1078,610091723036,7,2,Mouse,11.06739639537116,20
1086,616859448142,7,2,Mouse,12.214914516969616,20
1190,662896639900,7,2,Mouse,5.188294800196906,20
1198,665972822112,7,2,Mouse,34.93821441977698,20
1290,706570674898,7,2,Trackpad,8.936761719330002,20
1310,711049351608,7,2,Trackpad,4.522722166953188,20
1378,747682140674,7,2,Trackpad,12.062912331191857,20
1410,75254959287,7,2,Trackpad,13.24369550219329,20
1434,758610083023,7,2,Trackpad,42.599755095549604,20
1450,764955634018,7,2,Mouse,12.448849272747639,20
1474,781632843660,7,2,Mouse,77.74415368506607,20
1498,788534438470,7,2,Trackpad,45.003404350729994,20
1522,802470273105,7,2,Trackpad,60.87904742530258,20
1562,818668159889,7,2,Mouse,47.835675531363236,20
1630,841781280934,7,2,Trackpad,8.82488029595223,20
1666,856257066596,7,2,Trackpad,7.301624553271219,20
1730,881636635866,7,2,Mouse,33.720733712377786,20
1822,928185260389,7,2,Mouse,6.8364445845237185,20
1898,982309131650,7,2,Trackpad,5.814026502468067,20
1910,993634722428,7,2,Trackpad,9.974781424849999,20
71,141579159069,10,2,Trackpad,7.745148563399728,20
95,157286867732,10,2,Trackpad,9.424998077727118,20
143,18545178463,10,2,Trackpad,9.441362051914812,20
247,244346351129,10,2,Mouse,76.36806185806299,20
327,281449537957,10,2,Trackpad,10.844763304259455,20
343,286533593898,10,2,Mouse,10.49009491108561,20
383,307390059111,10,2,Mouse,11.88200706881462,20
411,314751828555,10,2,Trackpad,10.249532755393272,20
451,340447094989,10,2,Mouse,20.79204818418369,20
491,363396258093,10,2,Mouse,9.206119773776013,20
515,372881010640,10,2,Mouse,10.879898141254584,20
607,413611575961,10,2,Trackpad,5.966325953796734,20
623,42404767125,10,2,Trackpad,4.587683293709875,20
627,424813729943,10,2,Mouse,84.06870123969021,20
675,450325436890,10,2,Mouse,7.11599849491486,20
683,453578034881,10,2,Mouse,26.510676637121446,20
687,455088283633,10,2,Trackpad,13.399626615847318,20
719,47219052677,10,2,Trackpad,4.7444628176556165,20
771,485655207419,10,2,Mouse,15.274702987051382,20
787,490372725762,10,2,Trackpad,11.335974550472244,20
807,497830706648,10,2,Trackpad,71.79702977647132,20
819,499781516147,10,2,Mouse,22.483367172122097,20
843,514699809951,10,2,Mouse,7.4356139737635445,20
871,524084624601,10,2,Mouse,9.70025738273763,20
883,526591815054,10,2,Mouse,7.811144222969869,20
979,560719192726,10,2,Trackpad,6.239711484082798,20
995,568911038571,10,2,Mouse,55.83471703454475,20
999,571510386420,10,2,Mouse,3.041456292030435,20
1063,607190310023,10,2,Mouse,49.08284520604047,20
1079,610091723036,10,2,Mouse,14.10388593872964,20
1087,616859448142,10,2,Mouse,19.650771680987273,20
1191,662896639900,10,2,Mouse,41.19131429210651,20
1199,665972822112,10,2,Mouse,11.849061929242119,20
1291,706570674898,10,2,Trackpad,20.074177205205054,20
1311,711049351608,10,2,Trackpad,5.364420081197041,20
1379,747682140674,10,2,Trackpad,6.848959891677051,20
1411,75254959287,10,2,Trackpad,5.0857809660422015,20
1435,758610083023,10,2,Trackpad,8.70915252764973,20
1451,764955634018,10,2,Mouse,6.8773119982629485,20
1475,781632843660,10,2,Mouse,97.27206940616965,20
1499,788534438470,10,2,Trackpad,47.22742496448023,20
1523,802470273105,10,2,Trackpad,70.65151433476407,20
1563,818668159889,10,2,Mouse,41.01983330979393,20
1631,841781280934,10,2,Trackpad,13.439554698466427,20
1667,856257066596,10,2,Trackpad,40.24555953036915,20
1731,881636635866,10,2,Mouse,51.310183654100854,20
1823,928185260389,10,2,Mouse,7.539068150732471,20
1899,982309131650,10,2,Trackpad,10.949596064460382,20
1911,993634722428,10,2,Trackpad,8.922266970035666,20
56,139654613099,15,3,Mouse,36.10722031654178,20
64,141351339407,15,3,Trackpad,5.0191540239492145,20
96,158240405377,15,3,Mouse,28.536998426555844,20
148,193100401433,15,3,Mouse,7.135554671665697,20
200,219942741794,15,3,Mouse,10.976206706239605,20
296,263290655799,15,3,Trackpad,16.600816425820963,20
344,287971476791,15,3,Mouse,76.68114850941693,17
376,306810469599,15,3,Mouse,7.262320979194589,20
384,311279476853,15,3,Mouse,7.225807389102987,20
388,311518904287,15,3,Mouse,9.322891079314626,20
504,37013057852,15,3,Mouse,6.430186951217816,20
508,370640644570,15,3,Mouse,85.4503729151322,20
544,383627469185,15,3,Trackpad,39.15217841689834,20
