n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,bias_direction,n_participants
137,6.951010813243197,13.50825211251977,1.1540878634699878,4.668731921742246,9.233289704744148,6.116831970214847,-1.937359619140625,15.743017578125,-26.939069366455083,57.45098533630371,Correct,74
151,-6.869126075851602,15.915522444626433,1.295186848075034,-9.428292673470253,-4.309959478232951,-8.380312347412113,-16.440947914123534,0.7751605987548833,-75.5190669298172,43.761801147460936,Incorrect,77
90,-0.44031429647571535,9.241992324003704,0.9741915287214852,-2.3760121132847676,1.495383520333337,0.5462425231933564,-5.8216142654418945,6.311991310119629,-27.8916480243206,25.60095138549805,Near-zero,58
