ppid,clamp_magnitude,group,value
12978613609,2,1,-1.0169250488281278
38639956153,2,1,-0.5157272338867209
58796474477,2,1,0.8049850463867188
71419700048,2,1,0.0185943603515625
123183469520,2,1,-1.1722564697265625
163796231616,2,1,0.14238433837890624
244418469024,2,1,-0.730987548828125
263992263004,2,1,-0.284616851806641
266126640839,2,1,0.3281478881835909
272993694525,2,1,-0.5939338684082032
283817955758,2,1,-0.28940887451171865
299489942844,2,1,1.7675445556640625
326018211431,2,1,1.9182464599609403
353267429629,2,1,-0.35113067626953126
368230630876,2,1,-17.592975234985353
376660312758,2,1,0.2862548828125
385475812479,2,1,0.4269439697265625
441084582125,2,1,2.2205917358398493
475080016767,2,1,-2.4428726196289063
478867326164,2,1,-0.1685516357421875
479103788267,2,1,-15.361366271972656
537187849171,2,1,0.44032745361328124
542684882646,2,1,0.0809326171875
557130941888,2,1,-1.6781845092773438
595595653867,2,1,4.455413436889648
608781518181,2,1,-0.09085044860839844
628253346774,2,1,-0.561865234375
641972036799,2,1,-2.418236923217774
645686800824,2,1,2.830245971679685
666880505392,2,1,-2.027629852294922
666909089777,2,1,7.293666076660157
668861049227,2,1,-2.0846954345703126
671348925214,2,1,0.8840316772460965
701099609956,2,1,5.856227111816406
712406286736,2,1,-0.442718505859375
737828750163,2,1,-1.5990840911865232
750626990804,2,1,0.2304046630859375
754786406643,2,1,1.10225830078125
756482156459,2,1,2.4952301025390566
760820905212,2,1,0.7647872924804686
761518668150,2,1,-3.2558746337890625
785879140021,2,1,1.1433403015136718
803522135131,2,1,-0.9570354461669922
822205019881,2,1,0.8547058105468748
865611255867,2,1,0.588772964477539
945346587337,2,1,-2.25386962890625
968425765400,2,1,0.6322448730468718
996553590521,2,1,1.5389739990234375
12978613609,4,1,1.5234344482421875
38639956153,4,1,-0.8177978515625007
58796474477,4,1,-0.11743011474609659
71419700048,4,1,0.9022640228271485
123183469520,4,1,-0.14028053283691405
163796231616,4,1,-16.954168319702152
244418469024,4,1,-0.1124114990234375
263992263004,4,1,0.3391571044921875
266126640839,4,1,1.015264892578125
272993694525,4,1,-1.4613098144531251
283817955758,4,1,-0.3412796020507898
299489942844,4,1,1.6520843505859362
326018211431,4,1,0.4163364410400391
353267429629,4,1,1.569132995605469
368230630876,4,1,-17.37804260253906
376660312758,4,1,0.2789215087890623
385475812479,4,1,-2.19715576171875
441084582125,4,1,2.138459777832031
475080016767,4,1,0.8201019287109375
478867326164,4,1,2.296526336669922
479103788267,4,1,19.336643981933594
537187849171,4,1,1.2926742553710937
542684882646,4,1,-5.112992095947266
557130941888,4,1,2.470559692382812
595595653867,4,1,-4.818276977539063
608781518181,4,1,-0.4363983154296875
628253346774,4,1,-8.362878036499023
641972036799,4,1,-0.7785430908203068
645686800824,4,1,-3.1638549804687504
666880505392,4,1,0.012609481811524149
666909089777,4,1,-14.389947509765625
668861049227,4,1,2.124285888671872
671348925214,4,1,1.6448726654052734
701099609956,4,1,-12.076998901367187
712406286736,4,1,-0.45001983642578136
737828750163,4,1,-0.5725830078125
750626990804,4,1,0.9042388916015625
754786406643,4,1,0.9974243164062493
756482156459,4,1,0.5554977416992191
760820905212,4,1,0.9781097412109319
761518668150,4,1,2.262640380859378
785879140021,4,1,0.0097320556640625
803522135131,4,1,1.846240234375
822205019881,4,1,-0.29863739013671875
865611255867,4,1,-2.3288818359375
945346587337,4,1,-1.2585464477539063
968425765400,4,1,-2.826260375976557
996553590521,4,1,-0.9150909423828125
12978613609,6,1,1.6328918457031243
38639956153,6,1,-1.1155960083007812
58796474477,6,1,-0.7313697814941406
71419700048,6,1,-14.963788604736328
123183469520,6,1,-0.09127960205077841
163796231616,6,1,1.414495849609375
244418469024,6,1,2.5659423828125
263992263004,6,1,-0.00467681884765625
266126640839,6,1,-0.802264404296875
272993694525,6,1,0.9165496826171904
283817955758,6,1,0.758331298828125
299489942844,6,1,3.12474365234375
326018211431,6,1,1.0594970703125
353267429629,6,1,-0.1851470947265625
368230630876,6,1,16.503970336914062
376660312758,6,1,0.8187160491943359
385475812479,6,1,-18.88828887939453
441084582125,6,1,0.5742431640624984
475080016767,6,1,-0.4107421875
478867326164,6,1,1.228271484375
479103788267,6,1,17.003379821777344
537187849171,6,1,2.415853881835943
542684882646,6,1,1.1082763671875002
557130941888,6,1,-0.42786865234375
595595653867,6,1,12.930464172363282
608781518181,6,1,1.2481658935546904
628253346774,6,1,0.33459320068359377
641972036799,6,1,-0.16100311279296875
645686800824,6,1,1.109890747070318
666880505392,6,1,-0.048147583007812675
666909089777,6,1,1.1201461791992187
668861049227,6,1,0.5666580200195315
671348925214,6,1,0.8177413940429688
701099609956,6,1,13.566084289550778
712406286736,6,1,0.0127960205078125
737828750163,6,1,-0.18017730712890892
750626990804,6,1,1.0427585601806642
754786406643,6,1,2.417094421386719
756482156459,6,1,1.2359306335449218
760820905212,6,1,0.23251762390136643
761518668150,6,1,0.9285636901855462
785879140021,6,1,0.817181396484375
803522135131,6,1,1.3991561889648438
822205019881,6,1,0.9243812561035163
865611255867,6,1,0.5654632568359375
945346587337,6,1,-1.69505615234375
968425765400,6,1,0.4825653076171877
996553590521,6,1,1.1798233032226535
12978613609,8,1,2.9854080200195314
38639956153,8,1,6.5447830200195325
58796474477,8,1,0.8363708496093751
71419700048,8,1,-6.750759887695312
123183469520,8,1,2.1552093505859373
163796231616,8,1,-0.5855545043945313
244418469024,8,1,4.1478081226348875
263992263004,8,1,-2.0373031616210913
266126640839,8,1,1.656752014160157
272993694525,8,1,-0.04230651855469318
