bias_frame,term,sum_sq,df_model,f_naive,p_value_naive,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,wald_chi2,p_value_cluster,df_constraint,formula,n_rows,n_participants
Task-aligned,C(pointer),0.6210816881860447,1.0,0.005556975963313383,0.9405846422333667,2.975681425025838e-06,2.9844035333268973e-06,1.2280523815041768e-06,0.004013626506600826,1.2303547362287457e-06,0.00402884054353773,0.22316256438885443,0.6366406967809751,1.0,bias ~ C(pointer) * C(target_angles_degrees),1870,480
Task-aligned,C(target_angles_degrees),339.47838665654666,3.0,1.0124665137176738,0.3861476032379489,0.0016264841623683912,0.0016285998028244902,0.00034816243142772835,0.007861387136997524,0.00034887561910767193,0.007869086493206322,1.0934872893987837,0.7786465060627316,3.0,bias ~ C(pointer) * C(target_angles_degrees),1870,480
Task-aligned,C(pointer):C(target_angles_degrees),270.5165361421711,3.0,0.8067934366847954,0.49002282444183065,0.0012960791584624223,0.0012981945142928955,0.0002405140591614679,0.007398376736243777,0.00024258952201511799,0.007436936462071011,2.096924934094191,0.5525351205913016,3.0,bias ~ C(pointer) * C(target_angles_degrees),1870,480
Task-aligned,Residual,208108.53079754408,1862.0,,,,,,,,,,,,bias ~ C(pointer) * C(target_angles_degrees),1870,480
Raw signed,C(pointer),13262.96381524979,1.0,145.24514133135486,2.912703931488893e-32,0.06599340028941725,0.0723604398588891,0.044498525149434635,0.08886093117723726,0.04871440230846901,0.09907632855919736,22.38016511686543,2.236721135724546e-06,1.0,bias ~ C(pointer) * C(target_angles_degrees),1870,480
Raw signed,C(target_angles_degrees),8040.876206773893,3.0,29.352368428589845,1.5357626854326727e-18,0.04000951594101039,0.045156167502523104,0.026653829249374802,0.06291272675458669,0.02997786488514207,0.07096180446118976,3.646072373525307,0.3023053024807768,3.0,bias ~ C(pointer) * C(target_angles_degrees),1870,480
Raw signed,C(pointer):C(target_angles_degrees),9642.957801222889,3.0,35.20059790056137,3.9953964101403184e-22,0.047981098570016395,0.05367030770134315,0.032124672687696566,0.068229068296811,0.03572289196676137,0.07653660173718127,117.9201997159822,2.164339337267487e-25,3.0,bias ~ C(pointer) * C(target_angles_degrees),1870,480
Raw signed,Residual,170027.29590558723,1862.0,,,,,,,,,,,,bias ~ C(pointer) * C(target_angles_degrees),1870,480
