ppid,clamp_magnitude,raw_signed_baseline_bias,signed_clamp_angle,target_clamp_sign,pointer
563003797782,55,-0.6935806274414034,-55.0,-1,Mouse
563003797782,65,-5.20426025390625,-65.0,-1,Mouse
563003797782,75,-8.81710205078125,-75.0,-1,Mouse
563003797782,85,0.6611915588378906,-85.0,-1,Mouse
564938298193,15,-2.795984458923339,-15.0,-1,Trackpad
564938298193,25,3.4715057373046876,-25.0,-1,Trackpad
564938298193,35,-6.328225708007824,-35.0,-1,Trackpad
564938298193,45,12.05601806640625,-45.0,-1,Trackpad
56767792906,60,-3.5068435668945286,60.0,1,Mouse
56767792906,70,-3.8504531860351547,70.0,1,Mouse
56767792906,80,-1.6030334472656247,80.0,1,Mouse
56767792906,90,-3.241070556640625,90.0,1,Mouse
568911038571,3,-13.09117774963379,-3.0,-1,Mouse
568911038571,5,-6.336131286621095,-5.0,-1,Mouse
568911038571,7,-17.813411712646488,-7.0,-1,Mouse
568911038571,10,6.247478771209717,-10.0,-1,Mouse
571510386420,3,-8.356789207458496,3.0,1,Mouse
571510386420,5,-2.8039428710937555,5.0,1,Mouse
571510386420,7,0.5263900756835938,7.0,1,Mouse
571510386420,10,-6.481121826171875,10.0,1,Mouse
572670224355,15,-2.554132080078125,15.0,1,Mouse
572670224355,25,-7.567447280883789,25.0,1,Mouse
572670224355,35,15.351171874999997,35.0,1,Mouse
572670224355,45,0.4049217224121097,45.0,1,Mouse
57334981393,55,-22.25882339477539,-55.0,-1,Mouse
57334981393,65,-12.863874816894537,-65.0,-1,Mouse
57334981393,75,-10.314749145507813,-75.0,-1,Mouse
57334981393,85,-6.99170379638672,-85.0,-1,Mouse
575425482820,20,-9.80917205810547,20.0,1,Mouse
575425482820,30,4.176577949523926,30.0,1,Mouse
575425482820,40,-0.0855194091796875,40.0,1,Mouse
575425482820,50,-5.927360534667964,50.0,1,Mouse
577084825607,15,6.082418823242182,-15.0,-1,Trackpad
577084825607,25,-1.3552101135253922,-25.0,-1,Trackpad
577084825607,35,-4.846578979492184,-35.0,-1,Trackpad
577084825607,45,-1.6490558624267577,-45.0,-1,Trackpad
577336943708,20,8.06686782836914,20.0,1,Trackpad
577336943708,30,-1.8857189178466798,30.0,1,Trackpad
577336943708,40,6.110784912109361,40.0,1,Trackpad
577336943708,50,2.302578735351557,50.0,1,Trackpad
587319151731,135,1.407795715332031,135.0,1,Trackpad
587319151731,145,3.803690719604493,145.0,1,Trackpad
587319151731,155,-9.662774658203125,155.0,1,Trackpad
587319151731,165,12.193072509765624,165.0,1,Trackpad
58796474477,2,-1.185588073730469,2.0,1,Mouse
58796474477,4,6.685522460937494,4.0,1,Mouse
58796474477,6,-14.77947540283203,6.0,1,Mouse
58796474477,8,20.38600311279297,8.0,1,Mouse
588954061502,95,-13.38060989379883,-95.0,-1,Mouse
588954061502,105,8.681982421874995,-105.0,-1,Mouse
588954061502,115,-23.500149536132813,-115.0,-1,Mouse
588954061502,125,13.98617057800293,-125.0,-1,Mouse
589106590719,140,9.091223144531245,140.0,1,Trackpad
589106590719,150,13.083729553222657,150.0,1,Trackpad
589106590719,160,-3.718160057067871,160.0,1,Trackpad
589106590719,170,-6.904206848144531,170.0,1,Trackpad
591787668410,15,4.844747924804693,-15.0,-1,Mouse
591787668410,25,12.807778930664051,-25.0,-1,Mouse
591787668410,35,-10.584134292602538,-35.0,-1,Mouse
591787668410,45,6.261143493652344,-45.0,-1,Mouse
593610742595,55,3.8636047363281136,55.0,1,Mouse
593610742595,65,3.454677200317385,65.0,1,Mouse
593610742595,75,3.797149658203108,75.0,1,Mouse
593610742595,85,2.1724403381347654,85.0,1,Mouse
594008709769,140,-4.835847473144526,-140.0,-1,Trackpad
594008709769,150,-2.2986587524414075,-150.0,-1,Trackpad
594008709769,160,6.486206436157227,-160.0,-1,Trackpad
594008709769,170,4.949087524414063,-170.0,-1,Trackpad
595595653867,2,2.3193866729736348,2.0,1,Mouse
595595653867,4,-1.868792724609375,4.0,1,Mouse
595595653867,6,-7.671350860595707,6.0,1,Mouse
595595653867,8,-7.553771972656259,8.0,1,Mouse
60516332508,20,8.472852325439453,-20.0,-1,Trackpad
60516332508,30,10.783454895019531,-30.0,-1,Trackpad
60516332508,40,14.243989562988281,-40.0,-1,Trackpad
60516332508,50,4.5423614501953065,-50.0,-1,Trackpad
606417353264,135,-11.700477600097656,135.0,1,Trackpad
607190310023,3,-1.5655700683593978,3.0,1,Mouse
607190310023,5,0.24365692138671058,5.0,1,Mouse
607190310023,7,1.7345939636230476,7.0,1,Mouse
607190310023,10,-8.048732757568358,10.0,1,Mouse
607647950528,60,4.441110229492187,-60.0,-1,Trackpad
607647950528,70,-2.940827941894523,-70.0,-1,Trackpad
607647950528,80,-0.06621246337890767,-80.0,-1,Trackpad
607647950528,90,3.9641727447509774,-90.0,-1,Trackpad
608781518181,2,5.553963279724121,-2.0,-1,Trackpad
608781518181,4,10.600936889648438,-4.0,-1,Trackpad
608781518181,6,-8.021278381347653,-6.0,-1,Trackpad
608781518181,8,10.194677734375,-8.0,-1,Trackpad
609066119184,20,9.60150146484375,-20.0,-1,Trackpad
609066119184,30,11.384735107421875,-30.0,-1,Trackpad
609066119184,40,-5.971172714233397,-40.0,-1,Trackpad
609066119184,50,-7.546212768554691,-50.0,-1,Trackpad
610091723036,7,19.533357334136962,7.0,1,Mouse
610091723036,10,-2.089884662628177,10.0,1,Mouse
611182001186,135,-4.771566772460938,-135.0,-1,Mouse
611182001186,145,-2.4839080810546785,-145.0,-1,Mouse
611182001186,155,5.757532119750977,-155.0,-1,Mouse
