n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,window,bias_direction,n_participants
74,9.389566187788773,5.249026032170797,0.610186881944694,8.173465485817307,10.60566688976024,8.575489139556883,5.807961463928213,11.035699558258058,3.3473449707031278,36.14770660400391,No-feedback baseline,Correct,74
77,-9.267307944447447,4.68455133185175,0.5338541702325902,-10.330570672844276,-8.204045216050618,-7.998381614685059,-12.426938390731811,-5.727832794189454,-26.777464276552195,-3.1135274887084963,No-feedback baseline,Incorrect,77
58,-0.0481854466186174,1.6282360693471307,0.21379787011950757,-0.4763082968029162,0.3799374035656814,-0.021369330088302482,-1.1417747497558683,1.3117220401763934,-2.9911315917968855,2.7287895202636703,No-feedback baseline,Near-zero,58
74,2.27748323764887,5.91565811892303,0.687681287940506,0.906936407255208,3.648030068042532,1.9385648727416962,-0.6612929105758678,5.829412651062014,-16.843505859374993,21.341324377059934,Early clamp,Correct,74
77,-3.7844950455091735,7.605023102320064,0.8666728167292586,-5.510623556112428,-2.058366534905919,-4.527667427062991,-7.334536743164077,-0.08569374084472603,-22.16053009033203,25.46881561279297,Early clamp,Incorrect,77
58,1.0677926945960383,6.461420458372206,0.8484260715956878,-0.6311512085362854,2.766736597728362,0.6177082061767665,-1.938245709737139,3.4881915092468274,-18.876805877685545,19.865766525268544,Early clamp,Near-zero,58
74,6.309201521782189,11.549837708232888,1.3426413614563983,3.6333211472987457,8.985081896265632,4.98290710449219,0.08266689777375086,11.507710933685301,-19.215213648478194,57.45098533630371,Late clamp,Correct,74
77,-7.651345953653321,10.618970951721609,1.2101440510663448,-10.061556713886594,-5.241135193420048,-9.017610168457031,-13.893687152862544,-1.3634485960006706,-28.659788513183592,37.54551697596908,Late clamp,Incorrect,77
58,-0.7497103808811688,7.9992502428528205,1.0503530149412732,-2.853006013363239,1.3535852516009017,-0.4458278735478723,-5.617996406555175,4.829641973972321,-21.98600616455078,17.97082443237305,Late clamp,Near-zero,58
74,2.5305572851284137,9.113854275472772,1.0594640393789716,0.4190484996624675,4.64206607059436,2.2929332256317165,-0.37805099487304616,5.864103722572326,-53.058795642852786,28.240316772460933,Early washout,Correct,74
77,-2.5763631669989913,5.585597262620103,0.6365378839195627,-3.8441382354027587,-1.3085880985952236,-2.542680104573565,-4.945536804199219,-0.45207786560057917,-19.113124084472652,23.2895833492279,Early washout,Incorrect,77
58,0.22526961743146484,4.61957365612082,0.6065797381179715,-0.9893853564555577,1.4399245913184873,0.6941167831420877,-2.461484718322754,2.5505254745483383,-17.62122192382812,13.048731994628906,Early washout,Near-zero,58
