term,sum_sq,df_model,f_naive,p_value_naive,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,wald_chi2,p_value_cluster,df_constraint,formula,n_rows,n_participants
C(clamp_magnitude),34686.94210519956,39.0,2.0702596199526044,0.0001253575781543366,0.04028191994110421,0.04086576172100127,0.02952272799458588,0.09923148258924228,0.030100506836848336,0.10216054220768328,67.75455320405311,0.002911442432116459,39.0,value ~ C(clamp_magnitude) + C(pointer),1936,484
C(pointer),12302.44480046214,1.0,28.636163146757113,9.793096256974995e-08,0.014286819951701205,0.014886475777162034,0.002239287694249623,0.035829282383290785,0.002350713268233744,0.038054290367151807,9.572289905442105,0.001975362364929631,1.0,value ~ C(clamp_magnitude) + C(pointer),1936,484
Residual,814115.1025505259,1895.0,,,,,,,,,,,,value ~ C(clamp_magnitude) + C(pointer),1936,484
