ppid,clamp_magnitude,baseline_bias,pointer,late_adapt
104274630779,60,-7.93392391204834,Mouse,29.499286657571794
104274630779,70,12.40481262207031,Mouse,39.19443740844728
104274630779,80,14.570980834960938,Mouse,39.026648712158206
104274630779,90,3.7659088134765613,Mouse,45.09622850418091
108424307545,100,12.806536865234374,Mouse,18.433758544921876
108424307545,110,18.546047973632813,Mouse,26.553631591796876
108424307545,120,19.48960676193237,Mouse,8.679283046722412
108424307545,130,7.06072692871094,Mouse,-10.083771514892584
114463583799,140,6.253083038330078,Trackpad,8.635198974609377
114463583799,150,-9.321920776367188,Trackpad,-12.634178161621094
114463583799,160,-2.754159927368165,Trackpad,-10.637816238403321
114463583799,170,3.7591278076171903,Trackpad,-4.098377227783203
115921796998,55,-4.4995269775390625,Mouse,15.131906107068062
115921796998,65,-7.00944595336914,Mouse,35.64571743011474
115921796998,75,2.2512298583984376,Mouse,37.02263145446777
115921796998,85,-6.581576538085935,Mouse,14.759942507743835
11866547632,60,1.7197994232177742,Trackpad,31.33616976737976
11866547632,70,-13.253767395019526,Trackpad,17.941151428222657
11866547632,80,12.148586273193354,Trackpad,38.61176884397864
11866547632,90,5.158675384521483,Trackpad,17.362122344970704
119388378225,95,-3.1681079864501944,Trackpad,-2.2618116378784174
119388378225,105,-6.210208129882813,Trackpad,-2.6233238220214927
119388378225,115,3.4092681884765623,Trackpad,3.5524932861328096
119388378225,125,1.067083740234375,Trackpad,2.3440017700195304
123183469520,2,-0.6134178161621121,Mouse,9.149811935424804
123183469520,4,2.0044326782226554,Mouse,18.93037052154541
123183469520,6,-4.12187194824219,Mouse,15.495919799804682
123183469520,8,8.880197143554682,Mouse,16.597661590576173
12978613609,2,-16.629551696777348,Mouse,28.333368682861323
12978613609,4,-14.45126953125,Mouse,50.91850296556949
12978613609,6,-4.309589767456055,Mouse,29.173000526428222
12978613609,8,-23.4753059387207,Mouse,51.13325805664063
131377047859,60,-0.8564186096191385,Trackpad,26.903873634338378
131377047859,70,2.4178863525390564,Trackpad,18.03511047363281
131377047859,80,-3.0476615905761717,Trackpad,12.19307861328125
131377047859,90,-10.077317810058593,Trackpad,4.198450469970699
132102677831,140,3.950775146484376,Mouse,-3.8623550415039047
132102677831,150,-2.9911315917968855,Mouse,0.44457092285155675
132102677831,160,-10.397933197021484,Mouse,5.332966995239259
132102677831,170,10.090945434570326,Mouse,0.791531372070311
132109080906,100,10.499172973632813,Mouse,33.65433721821755
132109080906,110,-7.322405242919919,Mouse,7.423970794677734
132109080906,120,-6.897760391235353,Mouse,13.41182662844658
132109080906,130,-9.598115539550786,Mouse,-18.90663070678711
132760789943,60,1.194174575805664,Mouse,22.9585901260376
132760789943,70,7.335571289062505,Mouse,-11.445980834960931
132760789943,80,0.46872024536132806,Mouse,-14.175188446044922
132760789943,90,-7.053704833984386,Mouse,17.3068344116211
134751847945,20,0.017168426513670988,Trackpad,2.350523567199705
134751847945,30,10.995657348632822,Trackpad,17.3792236328125
134751847945,40,-10.599786376953125,Trackpad,-5.97576904296875
134751847945,50,-16.82648315429687,Trackpad,9.807823181152344
139654613099,15,-7.808340454101563,Mouse,37.99931900501251
139654613099,25,-15.636696720123291,Mouse,42.83549880981445
139654613099,35,-33.53943481445313,Mouse,72.53050918579102
139654613099,45,-3.920726013183611,Mouse,46.604726409912104
140384659403,100,-15.832577514648444,Mouse,-3.59718475341797
140384659403,110,-16.375572204589837,Mouse,1.7285037994384773
140384659403,120,5.655288696289051,Mouse,11.114585876464844
140384659403,130,-6.8793586730957035,Mouse,-3.934986400604248
141351339407,15,-3.4214111328124988,Trackpad,45.58946914672852
141351339407,25,7.573190307617187,Trackpad,43.41954142302274
141351339407,35,-0.8421661376953182,Trackpad,29.95987014770508
141351339407,45,13.757567596435544,Trackpad,42.98970184326172
141579159069,3,-8.536535644531256,Trackpad,7.155714416503903
141579159069,5,-6.76557693481445,Trackpad,11.711305618286133
141579159069,7,-0.768209075927733,Trackpad,34.355525970458984
141579159069,10,-0.7938796997070401,Trackpad,33.52135848999022
