term,sum_sq,df_model,f_naive,p_value_naive,eta_sq,partial_eta_sq,eta_sq_ci_low,eta_sq_ci_high,partial_eta_sq_ci_low,partial_eta_sq_ci_high,wald_chi2,p_value_cluster,df_constraint,formula,n_rows,n_participants
C(clamp_magnitude),1180.1238777504775,39.0,1.7731861519420762,0.0023814986427103673,0.03509582251163513,0.03520816126140495,0.033942964553314435,0.0802652982512074,0.03403969219951141,0.0804835065865615,75.4630420516599,0.00041132769533191977,39.0,value ~ C(clamp_magnitude) + C(pointer),1936,484
C(pointer),107.28979466099557,1.0,6.287091115814737,0.012245109890411726,0.003190701977753077,0.003306755273936568,0.00022720912813653548,0.008971047110128619,0.0002376325197948222,0.009544082436291876,6.559905050481483,0.010430193143179268,1.0,value ~ C(clamp_magnitude) + C(pointer),1936,484
Residual,32338.351256141985,1895.0,,,,,,,,,,,,value ~ C(clamp_magnitude) + C(pointer),1936,484
