break_length,check_movement_timeout,clamp_angle,clamp_angle_relative,clamped,completion_code,cursor_properties,cursor_scale,cursor_stationary_wait,cursor_style,cursor_visibility,experiment_type,group,mouse_sensitivity,movement_timeout,n_break,n_repetitions,play_audio_feedback,ppid_session_dataname,progress_in_break,return_hand_wait,show_endpoint_feedback,show_score,show_text_feedback,target_circle_radius,target_scale,token_id
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.013020815327763557,"[0.0, 0.30000001192092896]",3,240,Full,608781518181_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,25
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,5,0.013020884245634079,"[0.0, 0.30000001192092896]",3,240,Full,261654776288_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,267
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,3,0.009259257465600967,"[0.0, 0.30000001192092896]",3,240,Full,853101398795_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,192
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.00925927422940731,"[0.0, 0.30000001192092896]",3,240,Full,665972822112_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,71
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.009289647452533245,"[0.0, 0.30000001192092896]",3,240,Full,99897861946_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,323
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.009192705154418945,"[0.0, 0.30000001192092896]",3,240,Full,593610742595_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,203
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,2,0.013020799495279789,"[0.0, 0.30000001192092896]",3,240,Full,928426922298_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,124
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,8,0.013020835816860199,"[0.0, 0.30000001192092896]",3,240,Full,836667074589_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,425
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.009259261190891266,"[0.0, 0.30000001192092896]",3,240,Full,46445406973_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,234
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,3,0.01302083395421505,"[0.0, 0.30000001192092896]",3,240,Full,466315876226_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,172
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,5,0.011993493884801865,"[0.0, 0.30000001192092896]",3,240,Full,690112326992_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,258
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.01302082184702158,"[0.0, 0.30000001192092896]",3,240,Full,211914503015_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,447
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,2,0.007106885779649019,"[0.0, 0.30000001192092896]",3,240,Full,964304241118_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,111
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.013635087758302689,"[0.0, 0.30000001192092896]",3,240,Full,758610083023_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,93
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.013020852580666542,"[0.0, 0.30000001192092896]",3,240,Full,666909089777_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,12
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.008916961029171944,"[0.0, 0.30000001192092896]",3,240,Full,836360013578_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,227
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.013020835816860199,"[0.0, 0.30000001192092896]",3,240,Full,91524953255_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,292
