age,browser_version,computer,consent_time,gender,hand,height_px,monitor,pointer,ppid_session_dataname,px_ratio,width_px
21.0,"Chrome, 117",Desktop,10/13/2023 1:13:11 PM,Male,Right,1080,External Monitor,Mouse,108424307545_s001_participant_details,1,1920
25.0,"Opera, undefined",Desktop,10/13/2023 1:03:59 PM,Female,Right,1440,External Monitor,Mouse,437488567084_s001_participant_details,1,2560
37.0,"Chrome, 118",Laptop,10/13/2023 1:06:45 PM,Female,Right,768,Laptop Monitor,Mouse,653112237341_s001_participant_details,1,1373
41.0,"Firefox, 118",Laptop,10/13/2023 1:04:49 PM,Male,Right,864,Laptop Monitor,Trackpad,313978052698_s001_participant_details,1.25,1536
48.0,"Chrome, 117",Laptop,10/12/2023 1:28:51 PM,Female,Right,864,External Monitor,Mouse,764955634018_s001_participant_details,1.25,1536
34.0,"Chrome, 118",Desktop,10/13/2023 1:11:42 PM,Male,Right,1440,External Monitor,Mouse,982415887992_s001_participant_details,1.5,2560
39.0,"Chrome, 117",Laptop,10/12/2023 1:56:11 PM,Female,Right,768,Laptop Monitor,Trackpad,758610083023_s001_participant_details,1,1366
49.0,"Chrome, 118",Laptop,10/13/2023 1:07:14 PM,Male,Right,768,Laptop Monitor,Mouse,466064047068_s001_participant_details,1,1366
53.0,"Chrome, 117",Desktop,10/13/2023 1:56:45 PM,Female,Right,1080,External Monitor,Mouse,823480761377_s001_participant_details,1,1920
52.0,"Chrome, 117",Laptop,10/13/2023 1:10:22 PM,Female,Right,900,Laptop Monitor,Trackpad,587319151731_s001_participant_details,2,1440
68.0,"Chrome, 117",Desktop,10/13/2023 1:05:56 PM,Female,Right,1080,External Monitor,Mouse,65927738090_s001_participant_details,1.100000023841858,1920
31.0,"Chrome, 117",Desktop,10/13/2023 1:07:07 PM,Female,Right,1080,External Monitor,Mouse,70501195034_s001_participant_details,1,1920
31.0,"Chrome, 117",Laptop,10/13/2023 1:02:58 PM,Male,Right,864,Laptop Monitor,Mouse,488179284147_s001_participant_details,1.25,1536
43.0,"Chrome, 117",Laptop,10/12/2023 1:51:40 PM,Female,Right,1080,Laptop Monitor,Trackpad,92512405244_s001_participant_details,2,1920
49.0,"Safari, 17",Desktop,10/13/2023 1:06:49 PM,Male,Right,1440,External Monitor,Mouse,563003797782_s001_participant_details,1,3440
36.0,"Chrome, 117",Desktop,10/13/2023 1:09:16 PM,Male,Right,1152,External Monitor,Mouse,713283016113_s001_participant_details,2,2048
29.0,"Chrome, 117",Laptop,10/13/2023 2:02:53 PM,Female,Right,864,Laptop Monitor,Trackpad,720725221093_s001_participant_details,1.25,1536
30.0,"Chrome, 117",Laptop,10/13/2023 1:19:25 PM,Female,Right,720,Laptop Monitor,Mouse,175094375154_s001_participant_details,1.5,1280
49.0,"Safari, 17",Laptop,10/13/2023 1:07:53 PM,Male,Right,956,Laptop Monitor,Trackpad,782467008568_s001_participant_details,2,1470
60.0,"Chrome, 117",Desktop,10/13/2023 1:07:42 PM,Male,Left,1080,External Monitor,Mouse,542684882646_s001_participant_details,1,1920
31.0,"Chrome, 117",Desktop,10/12/2023 1:32:22 PM,Female,Right,1080,External Monitor,Mouse,286533593898_s001_participant_details,1,1920
59.0,"Firefox, 118",Laptop,10/18/2023 1:00:40 PM,Male,Right,800,Laptop Monitor,Trackpad,679935650900_s001_participant_details,2,1280
42.0,"Chrome, 117",Laptop,10/13/2023 1:14:46 PM,Female,Right,864,Laptop Monitor,Mouse,232699431944_s001_participant_details,1.25,1536
37.0,"Firefox, 118",Laptop,10/13/2023 1:04:52 PM,Female,Right,1067,Laptop Monitor,Trackpad,554797971853_s001_participant_details,1.5,1707
37.0,"Chrome, 117",Desktop,10/13/2023 9:41:13 AM,Male,Right,2160,External Monitor,Mouse,37013057852_s001_participant_details,1,3840
54.0,"Chrome, 117",Laptop,10/13/2023 1:07:19 PM,Male,Left,720,Laptop Monitor,Trackpad,163470105268_s001_participant_details,1.5,1280
40.0,"Chrome, 115",Laptop,10/12/2023 1:40:37 PM,Female,Right,900,Laptop Monitor,Trackpad,780990068335_s001_participant_details,2,1440
64.0,"Chrome, 117",Laptop,10/12/2023 8:50:17 AM,Male,Right,900,Laptop Monitor,Trackpad,965287376195_s001_participant_details,2,1440
23.0,"Chrome, 118",Laptop,10/12/2023 2:05:08 PM,Male,Right,1080,Laptop Monitor,Mouse,942594251362_s001_participant_details,1,1920
