study,perturbSize,extent
1,1,8.1720463650827
1,1.75,14.9057965266296
1,3.5,18.8401224637132
1,6,21.4125663456525
1,10,18.1904414447282
1,15,17.3039036847866
1,45,13.8562568405691
2,1.75,26.1738066095471
2,3.5,28.8176254589963
2,15,28.3825209922338
3,7.5,13.6091087811271
3,15,14.5822411533421
3,30,9.76081258191349
3,45,15.3342070773263
3,60,16.218872870249
3,95,8.83191349934469
