group,perturbSize,sub,trialType,cycleNum,handangle
1,2,1,0,1,6.60397422986923
1,2,1,0,2,0.0633377410270158
1,2,1,0,3,1.60434346026282
1,2,1,0,4,-1.31318504252322
1,2,1,0,5,-1.25160173563425
1,2,1,0,6,1.54828171563
1,2,1,0,7,0.139519155683711
1,2,1,0,8,1.45662677994429
1,2,1,0,9,4.89882932972222
1,2,1,0,10,-0.394433609457532
1,2,1,0,11,0.236351818312117
1,2,1,0,12,6.16495305581784
1,2,1,0,13,-0.466509213176205
1,2,1,0,14,-4.19205532895031
1,2,1,0,15,-0.994894482900577
1,2,1,0,16,-1.46434398661596
1,2,1,0,17,-2.05564277401757
1,2,1,0,18,-0.840643717212788
1,2,1,0,19,-0.717418508861295
1,2,1,0,20,-3.69131463915448
1,2,1,0,21,-1.65043281577675
1,2,1,0,22,-0.882813778676375
1,2,1,0,23,-1.71449797581012
1,2,1,0,24,-1.02687486664166
1,2,1,0,25,1.04275295647777
1,2,1,0,26,0.61837655423337
1,2,1,0,27,-1.21525582550269
1,2,1,0,28,0.425372801751668
1,2,1,0,29,1.04073340193129
1,2,1,0,30,1.24068384297214
1,2,1,1,31,0.422307574071242
1,2,1,1,32,-1.30721941083715
1,2,1,1,33,0.359891053855297
1,2,1,1,34,0.554100584659165
1,2,1,1,35,1.34783100341497
1,2,1,1,36,-0.649680890327068
1,2,1,1,37,4.54109079978436
1,2,1,1,38,4.98731817316465
1,2,1,1,39,2.04063511479666
1,2,1,1,40,3.08420578296078
1,2,1,1,41,4.85999296207324
1,2,1,1,42,3.78371065234612
1,2,1,1,43,5.64595897275663
1,2,1,1,44,5.4195258094781
1,2,1,1,45,4.21108576788275
1,2,1,1,46,4.73155345319467
1,2,1,1,47,6.00794545739707
1,2,1,1,48,5.23849890845758
1,2,1,1,49,6.40417991938067
1,2,1,1,50,5.07961198024192
1,2,1,1,51,5.20156724178869
1,2,1,1,52,5.34808040826736
1,2,1,1,53,6.77825835510606
1,2,1,1,54,7.25629184439246
1,2,1,1,55,4.53375119461329
1,2,1,1,56,4.80717606011799
1,2,1,1,57,7.49462631313811
1,2,1,1,58,5.34104467197953
1,2,1,1,59,5.32433367080566
1,2,1,1,60,9.98158248630426
1,2,1,1,61,5.8610290037337
1,2,1,1,62,4.43532611634788
1,2,1,1,63,8.603153281458
1,2,1,1,64,9.5815259328318
1,2,1,1,65,6.95528446311693
1,2,1,1,66,8.67009285048103
1,2,1,1,67,4.17999003073114
1,2,1,1,68,9.58210122690626
1,2,1,1,69,8.56160167757735
1,2,1,1,70,10.3510737680764
1,2,1,1,71,10.0337205752714
1,2,1,1,72,7.98993054831635
1,2,1,1,73,9.86945076425427
1,2,1,1,74,12.6515169161282
1,2,1,1,75,5.26663870999501
1,2,1,1,76,9.02596392196297
1,2,1,1,77,8.65619776033669
