ppid,trial_num,target_angles_degrees,target_exposure_index,clamp_magnitude,ballistic_fraction,x_hand,y_hand,next_target_exposure_index,next_x_hand,next_y_hand,update_radial,update_tangential
104274630779,85,45.0,1,60.0,0.2,4.716859318260928,0.22063380864909118,2.0,10.489185111172938,2.833003057845029,5.77232579291201,2.612369249195938
104274630779,91,45.0,2,60.0,0.2,10.489185111172938,2.833003057845029,3.0,8.759067965872292,-0.5884460009467096,-1.730117145300646,-3.4214490587917386
104274630779,93,45.0,3,60.0,0.2,8.759067965872292,-0.5884460009467096,4.0,6.661370815907071,0.021911728813248207,-2.0976971499652217,0.6103577297599578
104274630779,100,45.0,4,60.0,0.2,6.661370815907071,0.021911728813248207,5.0,7.713453516486476,3.5431527368187794,1.0520827005794056,3.521241008005531
104274630779,103,45.0,5,60.0,0.2,7.713453516486476,3.5431527368187794,6.0,1.9875042804616165,-9.057713315617354,-5.72594923602486,-12.600866052436134
104274630779,106,45.0,6,60.0,0.2,1.9875042804616165,-9.057713315617354,7.0,9.030613737989249,1.614279447164162,7.043109457527633,10.671992762781516
104274630779,109,45.0,7,60.0,0.2,9.030613737989249,1.614279447164162,8.0,0.4744629473716704,-4.679800625885475,-8.556150790617579,-6.294080073049637
104274630779,114,45.0,8,60.0,0.2,0.4744629473716704,-4.679800625885475,,,,,
104274630779,85,45.0,1,60.0,0.4,8.278227040686348,0.4266930900566647,2.0,19.25605376981229,5.177061288744101,10.977826729125942,4.750368198687436
104274630779,91,45.0,2,60.0,0.4,19.25605376981229,5.177061288744101,3.0,16.56840890412225,-0.6785158191331025,-2.6876448656900394,-5.855577107877203
104274630779,93,45.0,3,60.0,0.4,16.56840890412225,-0.6785158191331025,4.0,12.163782731007256,0.06753948180173719,-4.404626173114995,0.7460553009348397
104274630779,100,45.0,4,60.0,0.4,12.163782731007256,0.06753948180173719,5.0,13.985187017482707,6.535455463853214,1.8214042864754507,6.467915982051477
104274630779,103,45.0,5,60.0,0.4,13.985187017482707,6.535455463853214,6.0,12.42049606179675,-9.8273741949208,-1.5646909556859558,-16.362829658774015
104274630779,106,45.0,6,60.0,0.4,12.42049606179675,-9.8273741949208,7.0,16.544473881348566,3.6366622286332757,4.123977819551815,13.464036423554075
104274630779,109,45.0,7,60.0,0.4,16.544473881348566,3.6366622286332757,8.0,8.613394869035119,-2.7873498207803142,-7.931079012313447,-6.42401204941359
104274630779,114,45.0,8,60.0,0.4,8.613394869035119,-2.7873498207803142,,,,,
