ppid,trial_num,target_angles_degrees,target_exposure_index,clamp_magnitude,ballistic_duration,target_hit_time_fraction_of_bout,target_hit_arc_fraction_of_bout,target_hit_within_bout,ballistic_arc_length
413611575961,85,225.0,1,7.0,0.166900634765625,0.10294386542329494,0.5779418848226008,True,5.304721606791415
413611575961,86,45.0,1,5.0,0.11639404296875,0.0,0.0,True,6.48899550506904
413611575961,87,135.0,1,3.0,0.233612060546875,0.4293925538863488,0.8933806587292018,True,3.7294915353549287
413611575961,88,315.0,1,10.0,0.18289184570306816,0.18304688803578814,0.4665847967782854,True,7.524128036228329
413611575961,89,315.0,2,10.0,0.19989013671875,0.2566412213740458,0.6727398231260123,True,5.623137242503537
413611575961,90,225.0,2,7.0,0.13311767578125,0.1276937184777625,0.5898537003298397,True,5.773400022125678
413611575961,91,45.0,2,5.0,0.133087158203125,0.24719101123595505,0.5208413883582386,True,4.988335309694852
413611575961,92,135.0,2,3.0,0.183807373046875,0.2709613149593226,0.6068635033812035,True,6.005456588830102
413611575961,93,225.0,3,7.0,0.16650390625,0.19941348973607037,0.5559457477336228,True,5.41682255860886
413611575961,94,315.0,3,10.0,0.1995849609375,0.25,0.5716538620492464,True,6.102235183900788
413611575961,95,135.0,3,3.0,0.09918212890625,4.3636923076923075,,False,1.6803669014545866
413611575961,96,45.0,3,5.0,0.049591064453125,0.33476923076923076,0.5108272575430729,True,5.416294753813501
413611575961,97,225.0,4,7.0,0.1168212890625,0.1533437826541275,0.2897430808190535,True,4.706391699755076
413611575961,98,135.0,4,3.0,0.098419189453125,0.3221705426356589,0.5879855460839566,True,4.07125506239893
413611575961,99,45.0,4,5.0,0.099884033203125,0.17018026275588147,0.49995878589515386,True,5.100510570815458
413611575961,100,315.0,4,10.0,0.14959716796875,0.45491636066911467,0.6488388695564794,True,5.182114578796085
413611575961,101,315.0,5,10.0,0.1322021484375,0.2520775623268698,0.4846914714021379,True,5.3441672644936435
413611575961,102,45.0,5,5.0,0.11614990234375,0.29427220178665264,0.6716723954388414,True,9.5397866789461
413611575961,103,135.0,5,3.0,0.1500244140625,0.21887713588283156,0.6508728877722415,True,3.5387644420495996
413611575961,104,225.0,5,7.0,0.11663818359375,0.0,0.0,True,5.533911790425177
413611575961,105,135.0,6,3.0,0.1505126953125,3.1115166261151663,,False,1.1432772919621488
