parameter,value,sd
propVar_mouse,340.2161461624544,0.0
propVar_trackpad,121.82691508802334,0.0
visVarSlope,0.1867866886814298,0.0
retention,0.983539585463393,0.0
lr,0.08132212999965625,0.0
