scope,parameter,mean,sd,fixed,datasetSlug,datasetLabel
device_specific,propVar,1000.0,0.0,False,mouse,Mouse
device_specific,propVar,681.3484088870764,0.0,False,trackpad,Trackpad
shared,visVarSlope,0.4412303014632289,0.0,False,,Shared
shared,retention,0.9781164434895512,0.0,False,,Shared
shared,lr,0.11692589720380088,0.0,False,,Shared
fixed,visVarInt,1.853,0.0,True,,Shared
fixed_by_subset,motorVar,81.42877507299032,0.0,True,mouse,Mouse
fixed_by_subset,motorVar,43.75327994968318,0.0,True,trackpad,Trackpad
